accepted_quotes,audit_complete,average_american_odds,average_edge,average_market_probability,average_model_probability,evaluation_complete,excluded_unique_opportunities,fatal_integrity,gradeable_quotes,gradeable_unique_opportunities,hit_rate_ci_95,hit_rate_excluding_pushes,losses,market_brier,market_ece,market_log_loss,model_brier,model_ece,model_log_loss,model_minus_market_brier,model_minus_market_ece,model_minus_market_log_loss,opportunities,positive_edge_opportunities,positive_edge_profit,positive_edge_roi,pushes,quotes_with_predictions,reasons,roi,roi_uncertainty,run_action,sample_status,status,unique_opportunities,units_profit,units_returned,units_wagered,week,wins
11260,True,-54.611432706222864,0.003031742600003684,0.49696825739999634,0.5,True,4824,False,2420,1382,"[0.47367542789820477,0.5263245721017952]",0.5,691,0.22703411752918445,0.01619031811746857,0.6452336717820262,0.25496690780030534,0.14752805933429813,0.8741730285195803,0.02793279027112089,0.13133774121682956,0.22893935673755417,1382,696,29.927612453537673,0.04299944318037022,0,2554,"[{""code"":""NOT_READY_PREDICTION"",""count"":4776,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":8840,""recoverable"":true}]",-0.06615891418459202,"{""clusters"":7,""confidence_interval_95"":[-0.0875590872723047,-0.03919409795253965],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.012995608250887391}",RECOMPUTED,OK,PARTIAL,6206,-91.43161940310618,1290.5683805968938,1382,1,691
0,False,,,,,False,0,False,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,"[{""code"":""NO_READY_PREDICTIONS""}]",,"{""confidence_interval_95"":null,""method"":""game_cluster_bootstrap"",""standard_error"":null}",RECOMPUTED,INSUFFICIENT_SAMPLE,PREDICTIONS_NOT_READY,0,0,0,0,2,0
11302,True,-54.51948051948052,0.0029288940333798553,0.49707110596662013,0.5,True,5872,False,272,154,"[0.4219976741976088,0.5780023258023912]",0.5,77,0.25032552088111615,0.10035978293465733,0.6950951420710566,0.3297466312987013,0.2529935064935065,0.9718479326733397,0.07942111041758515,0.15263372355884916,0.2767527906022831,154,77,-11.84888613376891,-0.15388163810089495,0,306,"[{""code"":""NOT_READY_PREDICTION"",""count"":5860,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":11030,""recoverable"":true}]",-0.012017276193247935,"{""clusters"":1,""confidence_interval_95"":[-0.012017276193247935,-0.012017276193247935],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0}",RECOMPUTED,OK,PARTIAL,6026,-1.850660533760182,152.1493394662398,154,3,77
10884,True,-58.464646464646464,0.003288854800107823,0.4967111451998922,0.5,True,5676,False,378,198,"[0.43102163323431,0.56897836676569]",0.5,99,0.24481110631705133,0.05504622660178817,0.6832589496718365,0.2812158270709091,0.22473313131313127,1.748091423082237,0.036404720753857756,0.1696869047113431,1.0648324734104007,198,99,23.506955692993067,0.23744399689891987,0,378,"[{""code"":""NOT_READY_PREDICTION"",""count"":5676,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":10506,""recoverable"":true}]",-0.02588433832263491,"{""clusters"":1,""confidence_interval_95"":[-0.02588433832263491,-0.02588433832263491],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0}",RECOMPUTED,OK,PARTIAL,5874,-5.125098987881713,192.8749010121183,198,4,99
0,False,,,,,False,0,False,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,"[{""code"":""NO_READY_PREDICTIONS""}]",,"{""confidence_interval_95"":null,""method"":""game_cluster_bootstrap"",""standard_error"":null}",RECOMPUTED,INSUFFICIENT_SAMPLE,PREDICTIONS_NOT_READY,0,0,0,0,5,0
0,False,,,,,False,0,False,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,"[{""code"":""NO_READY_PREDICTIONS""}]",,"{""confidence_interval_95"":null,""method"":""game_cluster_bootstrap"",""standard_error"":null}",RECOMPUTED,INSUFFICIENT_SAMPLE,PREDICTIONS_NOT_READY,0,0,0,0,6,0
0,False,,,,,False,0,False,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,"[{""code"":""NO_READY_PREDICTIONS""}]",,"{""confidence_interval_95"":null,""method"":""game_cluster_bootstrap"",""standard_error"":null}",RECOMPUTED,INSUFFICIENT_SAMPLE,PREDICTIONS_NOT_READY,0,0,0,0,7,0
0,False,,,,,False,0,False,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,"[{""code"":""NO_READY_PREDICTIONS""}]",,"{""confidence_interval_95"":null,""method"":""game_cluster_bootstrap"",""standard_error"":null}",RECOMPUTED,INSUFFICIENT_SAMPLE,PREDICTIONS_NOT_READY,0,0,0,0,8,0
0,False,,,,,False,0,False,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,"[{""code"":""NO_READY_PREDICTIONS""}]",,"{""confidence_interval_95"":null,""method"":""game_cluster_bootstrap"",""standard_error"":null}",RECOMPUTED,INSUFFICIENT_SAMPLE,PREDICTIONS_NOT_READY,0,0,0,0,9,0
0,False,,,,,False,0,False,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,"[{""code"":""NO_READY_PREDICTIONS""}]",,"{""confidence_interval_95"":null,""method"":""game_cluster_bootstrap"",""standard_error"":null}",RECOMPUTED,INSUFFICIENT_SAMPLE,PREDICTIONS_NOT_READY,0,0,0,0,10,0
9420,True,-54.34117647058824,0.0022882292858678937,0.4977117707141321,0.5,True,4944,False,298,170,"[0.4256738878259204,0.5743261121740796]",0.5,85,0.2071235143280779,0.11284692672517126,0.6049418808373083,0.27794548588235296,0.19646823529411764,0.77673705441949,0.07082197155427505,0.08362130856894638,0.17179517358218177,170,87,-19.405389493724577,-0.2230504539508572,0,316,"[{""code"":""NOT_READY_PREDICTION"",""count"":4940,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":9122,""recoverable"":true}]",-0.09902513201147085,"{""clusters"":1,""confidence_interval_95"":[-0.09902513201147085,-0.09902513201147085],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0}",RECOMPUTED,OK,PARTIAL,5114,-16.834272441950045,153.16572755804995,170,11,85
8900,True,-57.64977973568282,0.003077299262578623,0.49692270073742134,0.5,True,4354,False,806,454,"[0.4542005210664971,0.5457994789335029]",0.5,227,0.24336250194987244,0.05897104888109767,0.68113786301615,0.20482600929519384,0.07603564317180617,1.025318824584206,-0.038536492654678595,0.017064594290708494,0.344180961568056,454,228,93.3600895490489,0.4094740769695127,0,862,"[{""code"":""NOT_READY_PREDICTION"",""count"":4326,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":8094,""recoverable"":true}]",-0.028201315250372547,"{""clusters"":3,""confidence_interval_95"":[-0.0674661488231823,0.0797353305363291],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.03438535831219303}",RECOMPUTED,OK,PARTIAL,4808,-12.803397123669136,441.19660287633087,454,12,227
10690,True,-62.54375,0.00314089075516366,0.49685910924483634,0.5,True,5808,False,286,160,"[0.4234392476991226,0.5765607523008773]",0.5,80,0.2409256304692733,0.0351667599064901,0.6756214371454634,0.296791219375,0.22327874999999997,0.8553822295283297,0.05586558890572674,0.18811199009350987,0.17976079238286624,160,81,-7.790047990312,-0.09617343197916049,0,312,"[{""code"":""NOT_READY_PREDICTION"",""count"":5802,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":10404,""recoverable"":true}]",-0.03199116823304415,"{""clusters"":1,""confidence_interval_95"":[-0.03199116823304415,-0.03199116823304415],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0}",RECOMPUTED,OK,PARTIAL,5968,-5.118586917287064,154.88141308271292,160,13,80
8990,True,-59.078947368421055,0.0032558251469949626,0.49674417485300504,0.5,True,4712,False,234,114,"[0.409724679232304,0.590275320767696]",0.5,57,0.24130492656290944,0.0957852283527009,0.67531175482247,0.41132283473685965,0.37792278947368424,1.2154209299409429,0.1700179081739502,0.2821375611209833,0.5401091751184729,114,57,-15.550165476256627,-0.27280992063608117,0,234,"[{""code"":""NOT_READY_PREDICTION"",""count"":4712,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":8756,""recoverable"":true}]",-0.04106271146116941,"{""clusters"":1,""confidence_interval_95"":[-0.04106271146116941,-0.04106271146116941],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0}",RECOMPUTED,OK,PARTIAL,4826,-4.681149106573312,109.31885089342668,114,14,57
10728,True,-59.967213114754095,0.0034915956514785127,0.4965084043485215,0.5,True,5820,False,262,122,"[0.41264128779993825,0.5873587122000617]",0.5,61,0.26789771455312605,0.1138128831466083,0.7324501336034029,0.6863946304919181,0.6736162786885246,4.476687617337885,0.418496915938792,0.5598033955419163,3.744237483734482,122,61,-35.52836032984658,-0.5824321365548619,0,262,"[{""code"":""NOT_READY_PREDICTION"",""count"":5820,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":10466,""recoverable"":true}]",0.019697454622353158,"{""clusters"":1,""confidence_interval_95"":[0.019697454622353158,0.019697454622353158],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0}",RECOMPUTED,OK,PARTIAL,5942,2.4030894639270852,124.40308946392709,122,15,61
8390,True,-60.76829268292683,0.003760284830427461,0.49623971516957255,0.5,True,3620,False,208,82,"[0.3942282839199199,0.6057717160800802]",0.5,41,0.22754309129543035,0.07706044375839623,0.6475265520716774,0.32129485024392684,0.22553656097560978,1.4000884187121683,0.0937517589484965,0.14847611721721354,0.7525618666404909,82,41,-2.786268869551744,-0.0679577773061401,0,208,"[{""code"":""NOT_READY_PREDICTION"",""count"":3620,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":8182,""recoverable"":true}]",-0.06296943049252374,"{""clusters"":1,""confidence_interval_95"":[-0.06296943049252374,-0.06296943049252374],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0}",RECOMPUTED,OK,PARTIAL,3702,-5.163493300386946,76.83650669961305,82,16,41
8332,True,-63.20454545454545,0.004835780226020089,0.49516421977397995,0.5,True,3686,False,244,132,"[0.41591821422179404,0.5840817857782059]",0.5,66,0.22421348022756973,0.09169427608057035,0.6378510724680115,0.30498624272727276,0.3306818181818182,0.8196434511062031,0.08077276249970303,0.23898754210124784,0.18179237863819153,132,67,-37.14511404494042,-0.5544046872379167,0,244,"[{""code"":""NOT_READY_PREDICTION"",""count"":3686,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":8088,""recoverable"":true}]",-0.081847407223658,"{""clusters"":1,""confidence_interval_95"":[-0.081847407223658,-0.081847407223658],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.0}",RECOMPUTED,OK,PARTIAL,3818,-10.803857753522857,121.19614224647714,132,17,66
5058,True,-76.41071428571429,0.0046969172994814085,0.4953030827005186,0.5,True,2166,False,512,224,"[0.43507653070595764,0.5649234692940424]",0.5,112,0.2353351642966511,0.05506227797226162,0.6630977589900039,0.28099379973215177,0.20452052678571428,1.243049415760133,0.045658635435500666,0.14945824881345265,0.5799516567701292,224,112,27.55836937398081,0.24605686941054294,0,528,"[{""code"":""NOT_READY_PREDICTION"",""count"":2162,""recoverable"":true},{""code"":""RECOVERABLE_EXCLUSIONS"",""count"":4546,""recoverable"":true}]",-0.06585073238353592,"{""clusters"":4,""confidence_interval_95"":[-0.09182054336605047,-0.041525860855051895],""method"":""deterministic_2000_draw_game_cluster_bootstrap"",""standard_error"":0.013968070271532924}",RECOMPUTED,OK,PARTIAL,2390,-14.750564053912047,209.24943594608794,224,18,112
