actual_stat,american_odds,archetype,canonical_player_id,cumulative_share_of_negative_units,edge,game_id,line,market,market_probability,model_probability,player_name,profit_units,rank,season,share_of_negative_units,side,team,week
6.0,150.0,RECEIVER,4032473,0.002079002079002079,0.5615,espn-401772718,2.5,receptions,0.375,0.9365,Rashid Shaheed,-1.0,1,2025,0.002079002079002079,UNDER,NO,1
48.0,115.0,DUAL_THREAT_PASSER,4362887,0.004158004158004158,0.5607187772925764,espn-401772721,41.5,rushing_yards,0.43668122270742354,0.9974,Justin Fields,-1.0,2,2025,0.002079002079002079,UNDER,NYJ,1
31.0,110.0,SCRIMMAGE_HYBRID,3068267,0.006237006237006237,0.5541401273885351,espn-401772827,21.5,receiving_yards,0.4458598726114649,1.0,Austin Ekeler,-1.0,3,2025,0.002079002079002079,UNDER,WAS,1
12.0,110.0,DUAL_THREAT_PASSER,4362887,0.008316008316008316,0.551440127388535,espn-401772721,8.5,rushing_attempts,0.4458598726114649,0.9973,Justin Fields,-1.0,4,2025,0.002079002079002079,UNDER,NYJ,1
9.0,112.0,SCRIMMAGE_HYBRID,3117251,0.010395010395010396,0.5484303332383936,espn-401772831,3.5,receptions,0.44146966676160637,0.9899,Christian McCaffrey,-1.0,5,2025,0.002079002079002079,UNDER,SF,1
108.0,105.0,RECEIVER,4428209,0.012474012474012475,0.5430920303605314,espn-401772831,41.5,receiving_yards,0.4554079696394686,0.9985,Ricky Pearsall,-1.0,6,2025,0.002079002079002079,UNDER,SF,1
6.0,130.0,DUAL_THREAT_PASSER,4360423,0.014553014553014554,0.5355279878971255,espn-401772830,1.5,rushing_attempts,0.40847201210287437,0.944,Michael Penix Jr.,-1.0,7,2025,0.002079002079002079,UNDER,ATL,1
214.0,100.0,DUAL_THREAT_PASSER,4426339,0.016632016632016633,0.5306122448979591,espn-401772718,193.5,passing_yards,0.4693877551020409,1.0,Spencer Rattler,-1.0,8,2025,0.002079002079002079,UNDER,NO,1
22.0,100.0,SCRIMMAGE_HYBRID,4569987,0.018711018711018712,0.5306122448979591,espn-401772721,15.5,receiving_yards,0.4693877551020409,1.0,Jaylen Warren,-1.0,9,2025,0.002079002079002079,UNDER,PIT,1
52.0,100.0,RECEIVER,4369863,0.02079002079002079,0.5306122448979591,espn-401772829,40.5,receiving_yards,0.4693877551020409,1.0,Cedric Tillman,-1.0,10,2025,0.002079002079002079,UNDER,CLE,1
54.0,100.0,RECEIVER,4361370,0.02286902286902287,0.5305122448979591,espn-401772718,49.5,receiving_yards,0.4693877551020409,0.9999,Chris Olave,-1.0,11,2025,0.002079002079002079,UNDER,NO,1
54.0,100.0,RECEIVER,4361370,0.02494802494802495,0.5305122448979591,espn-401772718,52.5,receiving_yards,0.4693877551020409,0.9999,Chris Olave,-1.0,12,2025,0.002079002079002079,UNDER,NO,1
10.0,100.0,RECEIVER,4241372,0.02702702702702703,0.5284122448979591,espn-401772714,3.5,receptions,0.4693877551020409,0.9978,Hollywood Brown,-1.0,13,2025,0.002079002079002079,UNDER,KC,1
4.0,108.0,DUAL_THREAT_PASSER,4426339,0.029106029106029108,0.525401203717812,espn-401772718,3.5,rushing_attempts,0.45329879628218805,0.9787,Spencer Rattler,-1.0,14,2025,0.002079002079002079,UNDER,NO,1
214.0,-105.0,DUAL_THREAT_PASSER,4426339,0.031185031185031187,0.5203045685279188,espn-401772718,199.5,passing_yards,0.4796954314720812,1.0,Spencer Rattler,-1.0,15,2025,0.002079002079002079,UNDER,NO,1
30.0,-105.0,RECEIVER,4686422,0.033264033264033266,0.5203045685279188,espn-401772723,20.5,receiving_yards,0.4796954314720812,1.0,Xavier Hutchinson,-1.0,16,2025,0.002079002079002079,UNDER,HOU,1
59.0,100.0,RECEIVER,4430539,0.035343035343035345,0.5197122448979591,espn-401772828,29.5,receiving_yards,0.4693877551020409,0.9891,Brenton Strange,-1.0,17,2025,0.002079002079002079,UNDER,JAX,1
108.0,-105.0,RECEIVER,4428209,0.037422037422037424,0.5197045685279187,espn-401772831,45.5,receiving_yards,0.4796954314720812,0.9994,Ricky Pearsall,-1.0,18,2025,0.002079002079002079,UNDER,SF,1
48.0,100.0,RECEIVER,4385690,0.0395010395010395,0.5124122448979591,espn-401772918,32.5,receiving_yards,0.4693877551020409,0.9818,Dalton Kincaid,-1.0,19,2025,0.002079002079002079,UNDER,BUF,1
