archetype,count,eligible_for_ranking,market,market_brier,market_ece,market_log_loss,model_brier,model_ece,model_log_loss,model_minus_market_brier,model_minus_market_log_loss,roi,segment_type,team,units_profit,weeks
BALL_CARRIER,8,False,,0.24062343495512342,0.11428233022005106,0.6743730800608666,0.7457346725,0.863225,2.0052079395702602,0.5051112375448766,1.3308348595093937,-0.07186501522885963,archetype,,-0.574920121830877,[1]
DUAL_THREAT_PASSER,498,True,,0.24885039591402922,0.03960929074954234,0.6909132957935245,0.41899414393583534,0.37903042971887546,1.9507525175916984,0.17014374802180612,1.259839221798174,-0.04977874116745424,archetype,,-24.789813101392213,[1]
SCRIMMAGE_HYBRID,340,True,,0.24911185199194052,0.008772020288087252,0.6913320873003906,0.37442824782362943,0.30997107647058825,2.0512096153692556,0.1253163958316889,1.359877528068865,-0.04342253525682008,archetype,,-14.763661987318827,[1]
RECEIVER,978,True,,0.2475257401744138,0.012724382925845037,0.688172813922483,0.3623888076483374,0.3044796789366053,1.523281194488695,0.11486306747392361,0.8351083805662121,-0.05045577099188733,archetype,,-49.34574403006581,[1]
PASSER,12,False,,0.2544420555330519,0.3426675618289008,0.702034281673917,0.10472310333333334,0.3169,0.3862398905195059,-0.14971895219971854,-0.3157943911544111,-0.038964759359496205,archetype,,-0.4675771123139545,[1]
BALL_CARRIER,6,False,rushing_yards,0.24738962506025342,0.004086144740612123,0.6879228533847739,0.7538194433333333,0.8678333333333333,2.0425679315548986,0.5064298182730799,1.3546450781701247,-0.05735848184360772,archetype_by_market,,-0.3441508910616463,[1]
BALL_CARRIER,2,False,rushing_attempts,0.22032486463973347,0.46938775510204084,0.6337237600891445,0.7214803599999999,0.8493999999999999,1.8931279636163438,0.5011554953602665,1.2594042035271993,-0.11538461538461536,archetype_by_market,,-0.23076923076923073,[1]
DUAL_THREAT_PASSER,162,True,rushing_yards,0.246993661207502,0.06697427819312267,0.6871472041453245,0.4712561927160494,0.45605061728395063,1.7254394249127696,0.2242625315085474,1.038292220767445,-0.05836273586459953,archetype_by_market,,-9.454763210065124,[1]
DUAL_THREAT_PASSER,220,True,passing_yards,0.2500125287535128,0.008134967653718203,0.6931737594759918,0.4335565791820272,0.41303888181818177,2.5719633721850537,0.1835440504285144,1.878789612709062,-0.0571584448083515,archetype_by_market,,-12.57485785783733,[1]
DUAL_THREAT_PASSER,68,True,rushing_attempts,0.25639428675801945,0.05048007061378957,0.7061564922193748,0.412526049117647,0.3420735294117647,1.4707828689200482,0.15613176235962756,0.7646263767006733,-0.017730941386717183,archetype_by_market,,-1.2057040142967683,[1]
SCRIMMAGE_HYBRID,214,True,receiving_yards,0.24979873967029687,0.00751999782925713,0.6927543692456254,0.4020586868225888,0.36644937383177567,2.6781478701182517,0.1522599471522919,1.9853935008726262,-0.05262411848584656,archetype_by_market,,-11.261561355971164,[1]
RECEIVER,724,True,receiving_yards,0.24971839926571854,0.004021739051354258,0.69257671357117,0.38205683704430116,0.3432338756906077,1.747593641548286,0.13233843777858262,1.055016927977116,-0.05519621553415903,archetype_by_market,,-39.96206004673114,[1]
SCRIMMAGE_HYBRID,28,True,rushing_yards,0.25172821672534773,0.011747264990981348,0.6966022092781584,0.33740181785714285,0.47492142857142855,1.1977074696607795,0.08567360113179512,0.501105260382621,-0.05111737085396657,archetype_by_market,,-1.431286383911064,[1]
SCRIMMAGE_HYBRID,84,True,receptions,0.24665946349936196,0.025649616615672735,0.6862856752332641,0.3271803545238095,0.25038809523809524,0.9280274912832696,0.08052089102444754,0.24174181605000544,-0.0177408039533243,archetype_by_market,,-1.4902275320792413,[1]
RECEIVER,254,True,receptions,0.24127579851258454,0.06045742352227141,0.6756199661049652,0.3063271805511811,0.21542283464566928,0.8839024083818289,0.06505138203859653,0.20828244227686366,-0.03694363772966404,archetype_by_market,,-9.383683983334667,[1]
SCRIMMAGE_HYBRID,14,False,rushing_attempts,0.24809388468286525,0.10106324904293817,0.6893297202990248,0.30961747142857143,0.2837714285714285,0.9141076144246191,0.06152358674570618,0.22477789412559424,-0.04147047966838269,archetype_by_market,,-0.5805867153573576,[1]
PASSER,2,False,passing_tds,0.24552085433537868,0.025458406712938975,0.684163827163718,0.20903184000000002,0.45720000000000005,0.6110143510214231,-0.036489014335378656,-0.07314947614229494,-0.023809523809523836,archetype_by_market,,-0.04761904761904767,[1]
DUAL_THREAT_PASSER,48,True,passing_tds,0.23910325467193935,0.07610950084230171,0.6716688682916033,0.18502836874999998,0.16648749999999998,0.543924790781711,-0.054074885921939375,-0.12774407750989236,-0.03238516706652062,archetype_by_market,,-1.55448801919299,[1]
PASSER,10,False,passing_yards,0.2562262957725865,0.4061093928520932,0.7056083725759569,0.083861356,0.28884000000000004,0.34128499841912247,-0.1723649397725865,-0.3643233741568344,-0.04199580646949068,archetype_by_market,,-0.4199580646949068,[1]
,32,True,,0.24318163756911568,0.010278347150638857,0.679461005816277,0.69312632125,0.746425,2.642499780067211,0.44994468368088425,1.963038774250934,-0.06231252529470261,team,LV,-1.9940008094304835,[1]
,36,True,,0.24677901812637926,0.006280965114300465,0.6867008195965512,0.6760463105555555,0.7185388888888888,3.588661760627,0.4292672924291763,2.901960941030449,-0.053426529250254755,team,NYJ,-1.9233550530091712,[1]
,54,True,,0.24681983580416456,0.0371350616006316,0.686741052649208,0.6469015503705926,0.6698368148148148,4.697985023164766,0.40008171456642805,4.011243970515558,-0.05636861687514721,team,ATL,-3.0439053112579493,[1]
,74,True,,0.2459965322759272,0.12154014881343084,0.6854334421510444,0.6358703332435406,0.6601267297297297,5.098177355086337,0.38987380096761337,4.412743912935293,-0.04924008560172402,team,NO,-3.6437663345275775,[1]
,54,True,,0.25176356989479676,0.10064401312279264,0.6966619925194216,0.528468261852,0.5351146666666666,1.905476787982541,0.27670469195720326,1.2088147954631192,-0.04338531947601088,team,DEN,-2.3428072517045875,[1]
,68,True,,0.24831872935038982,0.10970869801761297,0.689850121762629,0.5008133094117647,0.46847058823529414,1.8019203141675018,0.25249458006137493,1.1120701924048726,-0.053267188622451285,team,BUF,-3.6221688263266874,[1]
,54,True,,0.24586211604552966,0.02695935913188791,0.6848269666916978,0.4687338081483333,0.4864072222222222,3.6339082085343644,0.22287169210280366,2.9490812418426664,-0.05346899179076532,team,PIT,-2.8873255567013274,[1]
,86,True,,0.245678615925776,0.029849718939281657,0.6844773568462595,0.45659587186053485,0.45086272093023255,1.3106661604537813,0.21091725593475885,0.6261888036075217,-0.059327359919542126,team,ARI,-5.102152953080623,[1]
,46,True,,0.2338239506622608,0.19699598515774763,0.6606174339352332,0.4240337882610869,0.3267345652173913,3.5753924722968105,0.1902098375988261,2.914775038361577,-0.08053840803276541,team,WAS,-3.704766769507209,[1]
,60,True,,0.24250618050501904,0.07909967934431911,0.6781062197942597,0.4289330386667334,0.5053866,2.7774462843625747,0.18642685816171434,2.099340064568315,-0.059077558609471954,team,SF,-3.5446535165683173,[1]
,58,True,,0.2523975783322001,0.021077482598116325,0.6980472385805037,0.4269367606896552,0.42753103448275864,1.326047407204719,0.17453918235745508,0.6280001686242154,-0.04094074083987083,team,CHI,-2.374562968712508,[1]
,50,True,,0.25837886503456675,0.029467986607985268,0.7101434385811332,0.42518780720012006,0.43571188,1.5982918153855235,0.1668089421655533,0.8881483768043903,-0.023178431936369988,team,IND,-1.1589215968184994,[1]
,30,True,,0.24335068536840054,0.1125344368098715,0.6797971900942639,0.3837677040001333,0.4407332,1.4166661924835575,0.14041701863173278,0.7368690023892936,-0.05794620867928959,team,SEA,-1.7383862603786877,[1]
,72,True,,0.24588356446818294,0.0704829455726465,0.6848089494975163,0.3800217341666667,0.36967500000000003,1.2754941276876461,0.13413816969848374,0.5906851781901299,-0.052308870080982305,team,PHI,-3.7662386458307258,[1]
,72,True,,0.2454248776664095,0.07980102609354163,0.6838333337423572,0.3705612236111111,0.2825249999999999,1.1366126747384704,0.1251363459447016,0.45277934099611317,-0.057150500201794414,team,GB,-4.114836014529198,[1]
,44,True,,0.2497595074498035,0.13020383277769612,0.6924249794809361,0.3727208531818182,0.3015954545454545,1.582120539823036,0.1229613457320147,0.8896955603421,-0.044726807522440175,team,LAR,-1.9679795309873676,[1]
,64,True,,0.24356102554062417,0.1188452646806729,0.6802007641556578,0.3641349915627187,0.38002790625,1.6444311161845133,0.12057396602209455,0.9642303520288555,-0.057286696432247555,team,DAL,-3.6663485716638435,[1]
,78,True,,0.24814963483073518,0.009938242843293702,0.6893052189370026,0.3585058517948718,0.37960000000000005,1.0950885225874372,0.11035621696413664,0.4057833036504346,-0.04784088864960985,team,BAL,-3.7315893146695682,[1]
,52,True,,0.24553301848409423,0.05805113556867178,0.6841297942790293,0.34846536653846155,0.31128846153846157,1.0775060451773042,0.10293234805436732,0.3933762508982749,-0.05598748092232885,team,NE,-2.9113490079611,[1]
,92,True,,0.24930140545934892,0.013737574591499603,0.6918391051606845,0.34970177869573915,0.3443129565217391,1.6350053125647583,0.10040037323639023,0.9431662074040739,-0.04179391139371841,team,KC,-3.8450398482220938,[1]
,66,True,,0.25315660772124515,0.0340787881413655,0.6995559126896777,0.34950754666666667,0.34047272727272726,1.0960259583489895,0.09635093894542152,0.3964700456593119,-0.040942032405947945,team,DET,-2.7021741387925644,[1]
,54,True,,0.24528712108585346,0.02682727841608959,0.6836526228202331,0.332570995926,0.3797888148148148,1.7206297025409043,0.08728387484014652,1.0369770797206712,-0.05786620587140709,team,HOU,-3.1247751170559828,[1]
,56,True,,0.2525702359076252,0.10231833721590618,0.6981561436588816,0.3340547125,0.2804107142857143,1.08189162040133,0.08148447659237484,0.38373547674244846,-0.0378797219922666,team,LAC,-2.12126443156693,[1]
,60,True,,0.2472940033214167,0.03306137998151951,0.6876687379905931,0.3203564496666667,0.25620333333333334,1.073260070955263,0.07306244634525,0.38559133296466996,-0.04980283916205253,team,CAR,-2.988170349723152,[1]
,48,True,,0.24766994287500407,0.060174131873290175,0.6884646157958483,0.29957414416708333,0.3504829166666667,2.3111345603204736,0.05190420129207926,1.6226699445246253,-0.0530229641003209,team,CLE,-2.5451022768154035,[1]
,64,True,,0.2520632393304289,0.0972504065650026,0.697521273528632,0.29382904,0.28375,0.796982785651822,0.041765800669571085,0.09946151212318999,-0.03832206340861556,team,TB,-2.452612058151396,[1]
,30,True,,0.24912733492620504,0.08766757373765263,0.6914301483910735,0.2706244013333333,0.34822666666666663,0.8820998705923653,0.021497066407128285,0.19066972220129175,-0.04328975415688633,team,TEN,-1.29869262470659,[1]
,36,True,,0.253511520220219,0.04746138084611148,0.7002110113453353,0.2364643416668889,0.23452755555555557,0.6609344293790925,-0.0170471785533301,-0.03927658196624273,-0.03689615360279291,team,MIN,-1.3282615297005447,[1]
,54,True,,0.2528320019423878,0.059502961890265944,0.6988679966395497,0.23244536740755553,0.2431554074074074,0.9488119996067398,-0.020386634534832276,0.2499440029671901,-0.04118491558941993,team,JAX,-2.223985441828676,[1]
,60,True,,0.25608170385318013,0.08457377691802014,0.7055230036095451,0.21119327166666668,0.20187666666666668,0.5897834128915981,-0.04488843218651345,-0.11573959071794704,-0.025672410167725687,team,NYG,-1.5403446100635412,[1]
,60,True,,0.24650400492259147,0.06082257109975769,0.6859815567969423,0.17522489933333332,0.16022666666666666,0.4850246635108198,-0.07127910558925815,-0.20095689328612248,-0.05128229734411051,team,CIN,-3.0769378406466306,[1]
,72,True,,0.25084625225642104,0.011223435916678428,0.6948408663046095,0.036672345277916664,0.13314180555555555,0.15634379542210117,-0.21417390697850439,-0.5384970708825083,-0.04798946933309366,team,MIA,-3.4552417919827434,[1]
,14,False,passing_yards,0.24406947538688264,0.13384091512863536,0.6812741317660427,0.9999980000009999,0.999999,13.815510557949896,0.7559285246141173,13.134236426183854,-0.06995986098778671,team_by_market,NO,-0.9794380538290139,[1]
,12,False,rushing_yards,0.24231094253480745,0.01342828214835784,0.6776664801871521,0.9972024666666667,0.9986,6.7283403837187565,0.7548915241318592,6.050673903531605,-0.07497261077712061,team_by_market,NYJ,-0.8996713293254474,[1]
,12,False,passing_yards,0.249155594046749,0.16582004764452243,0.6914583528790151,0.9999980000009999,0.999999,13.815510557949898,0.7508424059542509,13.124052205070882,-0.06385895426815234,team_by_market,ATL,-0.7663074512178282,[1]
,4,False,rushing_attempts,0.2527019116632345,0.04076583259047517,0.6986287954852438,0.9966038899999999,0.9983,6.589466864446346,0.7439019783367654,5.890838068961102,-0.01408730158730162,team_by_market,NYJ,-0.05634920634920648,[1]
,2,False,rushing_attempts,0.22273039256136073,0.47158866939615474,0.6384796504857676,0.95785369,0.9787,3.849048206266758,0.7351232974386392,3.2105685557809904,-0.08333333333333331,team_by_market,NO,-0.16666666666666663,[1]
,10,False,rushing_yards,0.24724361164064462,0.288853888919498,0.6876520635892922,0.9821089080000001,0.991,4.870216314412237,0.7348652963593554,4.182564250822945,-0.05519581608551377,team_by_market,NO,-0.5519581608551377,[1]
,6,False,passing_yards,0.25187122829432684,0.16922044628153501,0.6968901142012687,0.94284766,0.9710000000000001,3.5444016486435808,0.6909764317056731,2.847511534442312,-0.054747788443440616,team_by_market,NE,-0.3284867306606437,[1]
,4,False,rushing_attempts,0.2552919631530287,0.08888204377202089,0.7038432462279798,0.939586,0.969,3.9991996990005347,0.6842940368469713,3.295356452772555,-0.02794117647058822,team_by_market,ATL,-0.11176470588235288,[1]
,10,False,rushing_yards,0.24622461395393666,0.009795174059187927,0.6855756044879315,0.88811243,0.9423400000000001,2.8694071065109514,0.6418878160460633,2.18383150202302,-0.0542772444946358,team_by_market,BAL,-0.542772444946358,[1]
,2,False,rushing_attempts,0.18282020533824128,0.42716594235716965,0.5576919832800225,0.8217422499999999,0.9065,2.3697938426874954,0.6389220446617586,1.812101859407473,-0.15517241379310343,team_by_market,JAX,-0.31034482758620685,[1]
,10,False,passing_yards,0.25115113272593337,0.005085515987771627,0.6954569205454092,0.88513146,0.9408,2.83067990324943,0.6339803272740666,2.1352229827040206,-0.053467908902691506,team_by_market,CHI,-0.5346790890269151,[1]
,10,False,passing_yards,0.25983251715604305,0.1132734937435722,0.7129038393621535,0.8871991340000001,0.9418200000000001,2.8723285079196126,0.627366616843957,2.159424668557459,-0.04033434055173184,team_by_market,DEN,-0.4033434055173184,[1]
,22,True,receiving_yards,0.2506036744360294,0.09459643576363307,0.6943546676108594,0.8716650363636362,0.9324909090909091,3.4808455835027656,0.6210613619276069,2.786490915891906,-0.05558615746974906,team_by_market,LV,-1.2228954643344794,[1]
,10,False,passing_yards,0.2410399965323736,0.39082938265811096,0.6752119794384361,0.840022338,0.9164999999999999,2.4864552311535553,0.5989823414676264,1.8112432517151191,-0.07728235383102638,team_by_market,ARI,-0.7728235383102638,[1]
,8,False,passing_yards,0.2405880220668905,0.24016787552097396,0.674271548658077,0.823872885,0.9075,2.3984217701237887,0.5832848629331095,1.7241502214657116,-0.07004808216192655,team_by_market,BAL,-0.5603846572954124,[1]
,26,True,receiving_yards,0.24702401599361443,0.06579313424651904,0.6871911894429494,0.8240161430773077,0.8114303846153846,7.111819117502659,0.5769921270836933,6.424627928059709,-0.06177443069829148,team_by_market,PIT,-1.6061351981555785,[1]
,4,False,rushing_yards,0.2556241762219445,0.2610015193147742,0.7044007414814608,0.7807000099999999,0.8824,2.2215465020232013,0.5250758337780554,1.5171457605417404,-0.03254696373962429,team_by_market,ATL,-0.13018785495849716,[1]
,36,True,receiving_yards,0.2460329733385855,0.16136100298584113,0.6852076486642242,0.7685174044444445,0.8420888888888889,2.8887491265058185,0.522484431105859,2.2035414778415943,-0.065944256788323,team_by_market,BUF,-2.373993244379628,[1]
,2,False,rushing_attempts,0.2500471697906341,0.022210709531730655,0.6932407319969203,0.71605444,0.8462000000000001,1.8721022219105934,0.46600727020936583,1.1788614899136731,-0.014563106796116498,team_by_market,PHI,-0.029126213592232997,[1]
,2,False,rushing_yards,0.1838682705840315,0.42862719602075927,0.5599385701678554,0.64304361,0.8019000000000001,1.6189833252776316,0.4591753394159685,1.0590447551097761,-0.1527777777777778,team_by_market,PIT,-0.3055555555555556,[1]
,4,False,rushing_yards,0.2252334994225969,0.4743330442924696,0.6435249004697197,0.679721225,0.82445,1.7398869074208678,0.4544877255774031,1.0963620069511482,-0.10509950248756217,team_by_market,DET,-0.4203980099502487,[1]
,16,False,rushing_yards,0.24281778266658147,0.11606384121412347,0.6787696210451751,0.6933150325,0.8316250000000001,1.8128709827054028,0.45049724983341854,1.1341013616602278,-0.06946520298923045,team_by_market,ARI,-1.1114432478276872,[1]
,2,False,rushing_attempts,0.32443155705511495,0.5690374588086582,0.8434274108987023,0.76003524,0.8718,2.0541637344955674,0.43560368294488505,1.2107363235968651,0.15000000000000002,team_by_market,GB,0.30000000000000004,[1]
,10,False,receptions,0.23176253779326023,0.14118016123747376,0.6560353780528015,0.624874884,0.58416,2.1557404179689543,0.3931123462067398,1.4997050399161527,-0.04928070175438596,team_by_market,NO,-0.4928070175438596,[1]
,6,False,rushing_yards,0.24903257219344965,0.3255034616489759,0.691215742318863,0.6379051666666666,0.7985333333333333,1.6052157189884781,0.388872594473217,0.9139999766696152,-0.05382807300737722,team_by_market,PHI,-0.32296843804426334,[1]
,6,False,rushing_yards,0.23464702079679076,0.3139631449938138,0.6623811795446087,0.6173833933333334,0.7853333333333333,1.5453894455382375,0.3827363725365426,0.8830082659936288,-0.07621853455186789,team_by_market,WAS,-0.45731120731120734,[1]
,8,False,passing_yards,0.2513372288053581,0.0038032532522246643,0.6958241759093078,0.6297463925,0.793325,1.5812059541368435,0.3784091636946419,0.8853817782275357,-0.05486542443064184,team_by_market,TB,-0.4389233954451347,[1]
