bookmaker,canonical_player_id,detail,game_id,line,market,model_version,player_name,readiness,reason,season,side,team,week
betmgm,3676833,prediction probability unavailable,espn-401772510,2.5,rushing_yards,,KaVontae Turpin,,PREDICTION_MISSING,2025,OVER,DAL,1
betmgm,3676833,prediction probability unavailable,espn-401772510,2.5,rushing_yards,,KaVontae Turpin,,PREDICTION_MISSING,2025,UNDER,DAL,1
betrivers,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
bovada,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
fanduel,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
betmgm,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
betonlineag,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
draftkings,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
fanatics,3929630,prediction probability unavailable,espn-401772510,20.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
betrivers,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
bovada,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
fanduel,3929630,prediction probability unavailable,espn-401772510,18.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betmgm,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betonlineag,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
draftkings,3929630,prediction probability unavailable,espn-401772510,19.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
fanatics,3929630,prediction probability unavailable,espn-401772510,20.5,rushing_attempts,,Saquon Barkley,,PREDICTION_MISSING,2025,UNDER,PHI,1
betrivers,3929630,prediction probability unavailable,espn-401772510,94.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
fanatics,3929630,prediction probability unavailable,espn-401772510,95.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
fanduel,3929630,prediction probability unavailable,espn-401772510,95.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
draftkings,3929630,prediction probability unavailable,espn-401772510,96.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
williamhill_us,3929630,prediction probability unavailable,espn-401772510,97.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
betmgm,3929630,prediction probability unavailable,espn-401772510,98.5,rushing_yards,,Saquon Barkley,,PREDICTION_MISSING,2025,OVER,PHI,1
