base_opportunities,bet_rate,bets,expected_value_threshold,hit_rate,independent_games,losses,max_drawdown_units,policy,roi,roi_ci_95,units_profit,wins
37408,0.0,0,0.0,,0,0,0.0,market_only_ev,,,0,0
37408,0.0,0,0.01,,0,0,0.0,market_only_ev,,,0,0
37408,0.0,0,0.02,,0,0,0.0,market_only_ev,,,0,0
37408,0.0,0,0.03,,0,0,0.0,market_only_ev,,,0,0
37408,0.0,0,0.05,,0,0,0.0,market_only_ev,,,0,0
37408,0.0,0,0.075,,0,0,0.0,market_only_ev,,,0,0
37408,0.0,0,0.1,,0,0,0.0,market_only_ev,,,0,0
37408,0.0,0,0.15,,0,0,0.0,market_only_ev,,,0,0
37408,0.0,0,0.2,,0,0,0.0,market_only_ev,,,0,0
37408,0.9432474337040205,35285,0.0,0.5300269236219357,272,16583,1535.1703388516503,v3_ev,-0.04097119412271335,"[-0.06652133178511882, -0.01419805354492904]",-1445.6685846199405,18702
37408,0.9334634302822925,34919,0.01,0.5296257052034709,272,16425,1531.2411830837464,v3_ev,-0.04096371908654402,"[-0.06635382457578483, -0.01395044882561453]",-1430.4121067830306,18494
37408,0.9240804106073567,34568,0.02,0.5293045591298311,272,16271,1511.2795849603133,v3_ev,-0.04096701867259707,"[-0.06684938877152749, -0.013718621240566468]",-1416.1479014743354,18297
37408,0.9141894781864842,34198,0.03,0.5295338908708112,272,16089,1477.863631055534,v3_ev,-0.03990876489616929,"[-0.06621783614247141, -0.012518637304784483]",-1364.7999419191974,18109
37408,0.8939798973481609,33442,0.05,0.5292446624005741,272,15743,1430.444398466537,v3_ev,-0.03887937728020459,"[-0.06560973312070843, -0.010857809869724764]",-1300.2041350046018,17699
37408,0.8677288280581694,32460,0.075,0.5288971041281577,272,15292,1382.747242253588,v3_ev,-0.038411659599440665,"[-0.06525965178425319, -0.01003292749652664]",-1246.8424705978439,17168
37408,0.8423866552609067,31512,0.1,0.5264978420919015,272,14921,1378.8801447619226,v3_ev,-0.039974582111637375,"[-0.06756545534946987, -0.01096991981376226]",-1259.679031501917,16591
37408,0.7923706159110351,29641,0.15,0.5223845349347188,272,14157,1354.733673605992,v3_ev,-0.04188136969173663,"[-0.07027661088280279, -0.01119203923045373]",-1241.4056790327654,15484
37408,0.7362061591103507,27540,0.2,0.5172476397966594,272,13295,1282.0707448065127,v3_ev,-0.04146922956796787,"[-0.07157152045113975, -0.009249020766088994]",-1142.0625823018352,14245
37408,0.9197497861420018,34406,0.0,0.534616055339185,272,16012,1129.1209580547593,v4_ev,-0.025884119400404616,"[-0.05267004545716728, 0.0018843534799919985]",-890.5690120903213,18394
37408,0.9071588964927289,33935,0.01,0.5342861352585826,272,15804,1130.0553237487543,v4_ev,-0.0262028158345025,"[-0.05328012807893866, 0.002223323095621018]",-889.1925553438423,18131
37408,0.8935789136013687,33427,0.02,0.5337003021509558,272,15587,1121.2956939412907,v4_ev,-0.02619100168898356,"[-0.05339243745571689, 0.001992384858229082]",-875.4866134576534,17840
37408,0.8800256629597947,32920,0.03,0.5328979343863912,272,15377,1104.877545624909,v4_ev,-0.026147572248443482,"[-0.053814100321769684, 0.002442914435159483]",-860.7780784187594,17543
37408,0.851288494439692,31845,0.05,0.5322656617993405,272,14895,1027.0104611714548,v4_ev,-0.02474144417609205,"[-0.05277142164499774, 0.004849997596917787]",-787.8912897876513,16950
37408,0.8153603507271172,30501,0.075,0.5306055539162651,272,14317,949.65528506197,v4_ev,-0.023430244832542184,"[-0.05239665844369786, 0.006942865705870456]",-714.6458976373691,16184
37408,0.7778550042771599,29098,0.1,0.5290741631727266,272,13703,855.842143144748,v4_ev,-0.021405168206183413,"[-0.051626686914581145, 0.009935839453819265]",-622.847584463525,15395
37408,0.7015076988879384,26242,0.15,0.5249218809541956,272,12467,691.4744005463933,v4_ev,-0.017493130268160545,"[-0.04913647261687672, 0.015749998377292875]",-459.054724497069,13775
37408,0.6227544910179641,23296,0.2,0.5172991071428571,272,11245,545.3250093844631,v4_ev,-0.013143694260944987,"[-0.047250640613750346, 0.023210788111719248]",-306.1955015029744,12051
37408,0.25983746792130025,9720,0.0,0.4689300411522634,261,5162,223.8523016911771,market_residual_walk_forward_ev,0.006669260319656047,"[-0.04104996007514814, 0.055115259557701295]",64.82521030705678,4558
37408,0.2169054747647562,8114,0.01,0.46783337441459205,247,4318,211.50059868449037,market_residual_walk_forward_ev,0.013183678617615326,"[-0.03679396793817907, 0.06475736880618581]",106.97236830333075,3796
37408,0.18383768177929855,6877,0.02,0.46720953904318746,243,3664,205.71397991719329,market_residual_walk_forward_ev,0.01583930289901691,"[-0.03965171404184651, 0.07285854538485106]",108.92688603653929,3213
37408,0.1577202737382378,5900,0.03,0.4647457627118644,242,3158,178.94111991742784,market_residual_walk_forward_ev,0.01396210112052091,"[-0.04534884834880408, 0.0711014491264519]",82.37639661107337,2742
37408,0.11957335329341318,4473,0.05,0.4674714956405097,238,2382,128.78559905044455,market_residual_walk_forward_ev,0.026714115415569277,"[-0.043368092873065645, 0.09899358920841364]",119.49223825384138,2091
37408,0.08907185628742514,3332,0.075,0.45138055222088835,237,1828,125.73041333960373,market_residual_walk_forward_ev,0.003556600241646147,"[-0.08064342569605687, 0.0918989506909707]",11.850592005164962,1504
37408,0.06832763045337896,2556,0.1,0.4413145539906103,225,1428,132.8559419680997,market_residual_walk_forward_ev,-0.001642378104812759,"[-0.10059596364075664, 0.09736332473480439]",-4.197918435901412,1128
37408,0.0419428999144568,1569,0.15,0.4168260038240918,201,915,126.8189218527834,market_residual_walk_forward_ev,-0.007909454439624061,"[-0.12677747904395922, 0.10968870335306787]",-12.409934015770151,654
37408,0.027026304533789562,1011,0.2,0.3887240356083086,176,618,105.64488633994425,market_residual_walk_forward_ev,-0.025782827887560353,"[-0.15812122046751595, 0.11569669041246106]",-26.066438994323516,393
