actual_stat,american_odds,baseline_edge,baseline_probability,bookmaker,candidate_edge,canonical_player_id,decimal_odds,decision,distribution,explanation_key,game_id,grade,line,market,model_probability,nested_configuration,nested_threshold,no_vig_market_probability,opponent,player_name,policy_expected_value,policy_probability,predicted_mean,predicted_variance,probability_bucket,profit_units,promotion_eligible,push_probability,research_only,residual_adjustment,residual_model_status,residual_probability,season,side,team,week
5.0,120.0,-0.4170366013071895,0.0078,betmgm,0.2605751974245408,15818,2.2,BET,poisson,espn-401671492|15818|receptions,espn-401671492,LOSS,5.5,receptions,0.6854117987317303,residual_half_life_9,0.01,0.4248366013071895,DET,Keenan Allen,0.019531470127178152,0.4634233955123537,6.892954789074872,6.3075500564307525,60-70%,-1.0,False,0.0,True,0.0385867942051642,READY_WALK_FORWARD,0.4634233955123537,2024,OVER,CHI,13
2.0,128.0,0.005710300111152311,0.4179,betonlineag,0.1291408846992519,3046779,2.2800000000000002,BET,negative_binomial,espn-401671492|3046779|passing_tds,espn-401671492,LOSS,1.5,passing_tds,0.5413305845880996,residual_half_life_9,0.01,0.4121896998888477,CHI,Jared Goff,0.021917541740420265,0.4482094481317632,1.5497015423701364,1.0916002284979451,50-60%,-1.0,False,0.0,True,0.03601974824291554,READY_WALK_FORWARD,0.4482094481317632,2024,UNDER,DET,13
2.0,310.0,0.06758490566037734,0.294,betrivers,-0.022686361347673156,3046779,4.1,PASS,negative_binomial,espn-401671492|3046779|passing_tds,espn-401671492,LOSS,2.5,passing_tds,0.2037287329919495,residual_half_life_9,0.01,0.22641509433962265,CHI,Jared Goff,0.03114136422172642,0.2514978937126162,1.5497015423701364,1.0916002284979451,20-30%,-1.0,False,0.0,True,0.02508279937299357,READY_WALK_FORWARD,0.2514978937126162,2024,OVER,DET,13
221.0,-110.0,0.26139999999999997,0.7614,fanduel,0.10694298313831874,3046779,1.9090909090909092,BET,student_t,espn-401671492|3046779|passing_yards,espn-401671492,LOSS,248.5,passing_yards,0.6069429831383187,residual_half_life_9,0.01,0.5,CHI,Jared Goff,0.010998544252563469,0.529570666037057,259.04041424719463,2258.6392973217044,60-70%,-1.0,False,0.0,True,0.029570666037057047,READY_WALK_FORWARD,0.529570666037057,2024,OVER,DET,13
221.0,170.0,0.17646106240330067,0.522,betrivers,0.04831217118057446,3046779,2.7,PASS,student_t,espn-401671492|3046779|passing_yards,espn-401671492,LOSS,269.5,passing_yards,0.3938511087772738,residual_half_life_9,0.01,0.34553893759669935,CHI,Jared Goff,0.02296177855342252,0.37887473279756384,259.04041424719463,2258.6392973217044,30-40%,-1.0,False,0.0,True,0.03333579520086449,READY_WALK_FORWARD,0.37887473279756384,2024,OVER,DET,13
221.0,220.0,0.12134704711347039,0.41,betrivers,0.012505204753599175,3046779,3.2,PASS,student_t,espn-401671492|3046779|passing_yards,espn-401671492,LOSS,279.5,passing_yards,0.30115815764012877,residual_half_life_9,0.01,0.2886529528865296,CHI,Jared Goff,0.037461435005320176,0.32420669843916256,259.04041424719463,2258.6392973217044,30-40%,-1.0,False,0.0,True,0.035553745552632965,READY_WALK_FORWARD,0.32420669843916256,2024,OVER,DET,13
221.0,285.0,0.06080175571691776,0.3014,betrivers,-0.01775825140606163,3046779,3.85,PASS,student_t,espn-401671492|3046779|passing_yards,espn-401671492,LOSS,289.5,passing_yards,0.2228399928770206,residual_half_life_9,0.01,0.24059824428308224,CHI,Jared Goff,0.06745143747524585,0.27726011362993397,259.04041424719463,2258.6392973217044,20-30%,-1.0,False,0.0,True,0.03666186934685173,READY_WALK_FORWARD,0.27726011362993397,2024,OVER,DET,13
1.0,-174.0,0.11844684371440561,0.7078,williamhill_us,-0.08479622206720638,3046779,1.5747126436781609,PASS,negative_binomial,espn-401671492|3046779|rushing_attempts,espn-401671492,WIN,2.5,rushing_attempts,0.504556934218388,residual_half_life_9,0.01,0.5893531562855944,CHI,Jared Goff,0.03955766238127101,0.6601570556727779,2.6556235611292687,2.1422945172165186,50-60%,0.5747126436781609,False,0.0,True,0.07080389938718357,READY_WALK_FORWARD,0.6601570556727779,2024,UNDER,DET,13
1.0,-125.0,0.3369954314720811,0.8573,betmgm,0.3714048032263,3046779,1.8,BET,student_t,espn-401671492|3046779|rushing_yards,espn-401671492,WIN,0.5,rushing_yards,0.8917093717542188,residual_half_life_9,0.01,0.5203045685279188,CHI,Jared Goff,0.06668685160357735,0.5926038064464318,7.053374976186558,35.81528939729587,80-90%,0.8,False,0.0,True,0.072299237918513,READY_WALK_FORWARD,0.5926038064464318,2024,OVER,DET,13
1.0,-114.0,0.35719999999999996,0.8572,betonlineag,0.35769400414013763,3046779,1.8771929824561404,BET,student_t,espn-401671492|3046779|rushing_yards,espn-401671492,LOSS,1.5,rushing_yards,0.8576940041401376,residual_half_life_9,0.01,0.5,CHI,Jared Goff,0.07200289272247462,0.5710669615437481,7.053374976186558,35.81528939729587,80-90%,-1.0,False,0.0,True,0.07106696154374814,READY_WALK_FORWARD,0.5710669615437481,2024,OVER,DET,13
48.0,-110.0,-0.4982,0.0018,fanduel,0.15647140849329433,3134353,1.9090909090909092,BET,student_t,espn-401671492|3134353|receiving_yards,espn-401671492,WIN,21.5,receiving_yards,0.6564714084932943,residual_half_life_9,0.01,0.5,CHI,Tim Patrick,0.011217069510577271,0.5296851316483976,25.294153830075498,131.5135778246553,60-70%,0.9090909090909091,False,0.0,True,0.02968513164839759,READY_WALK_FORWARD,0.5296851316483976,2024,OVER,DET,13
26.0,-110.0,0.46319999999999995,0.9632,fanduel,0.4500744625921699,4258595,1.9090909090909092,BET,student_t,espn-401671492|4258595|receiving_yards,espn-401671492,LOSS,29.5,receiving_yards,0.9500744625921699,residual_half_life_9,0.01,0.5,DET,Cole Kmet,0.03796675560800994,0.543696871985148,54.30103128511346,252.18190152495677,90-100%,-1.0,False,0.0,True,0.043696871985148045,READY_WALK_FORWARD,0.543696871985148,2024,OVER,CHI,13
