feature,importance,importance_stddev,market,test_rows,test_week,train_rows
history_games,-1.7713429639218277,1.6422556361940526,passing_yards,25,9,179
rolling_mean_3,0.1471181763579267,0.3467357599809788,passing_yards,25,9,179
rolling_mean_5,-0.027245119176549794,1.0330535146407411,passing_yards,25,9,179
rolling_mean_all,-0.870287263810971,0.8616440151310245,passing_yards,25,9,179
rolling_std_5,0.5072396578798759,1.431533524918254,passing_yards,25,9,179
rolling_std_all,0.1285749705470863,0.47706157169860447,passing_yards,25,9,179
last_value,-0.7790662780336532,1.6653682525587055,passing_yards,25,9,179
recent_form_delta,1.547918533870981,0.43929206062049797,passing_yards,25,9,179
zero_rate,-0.09702176287785562,0.19404352575571124,passing_yards,25,9,179
usage_mean_3,0.5959922968249429,2.058295792237784,passing_yards,25,9,179
usage_mean_all,-0.46718044401083886,2.3626307610583672,passing_yards,25,9,179
team_market_mean_5,-0.866133552182913,1.7227462536986096,passing_yards,25,9,179
opponent_allowed_mean_5,1.1604818604300022,0.5546761953945657,passing_yards,25,9,179
team_plays_mean_5,-1.2367421885044707,0.8677644892091213,passing_yards,25,9,179
qb_strength_mean_5,-0.21260972632240396,0.23999606031837734,passing_yards,25,9,179
home,1.3804243068209643,1.228497266188451,passing_yards,25,9,179
season_week,0.0,0.0,passing_yards,25,9,179
game_total,0.0,0.0,passing_yards,25,9,179
team_spread,0.0,0.0,passing_yards,25,9,179
implied_team_total,0.0,0.0,passing_yards,25,9,179
history_games,0.8057114939401074,1.281788249103156,passing_yards,28,11,236
rolling_mean_3,0.3987981248513293,0.3056912020025596,passing_yards,28,11,236
rolling_mean_5,0.2613685719021362,1.538515523983095,passing_yards,28,11,236
rolling_mean_all,0.7034607170976855,0.8382142115784699,passing_yards,28,11,236
rolling_std_5,1.1081672715470177,0.5931177549154965,passing_yards,28,11,236
rolling_std_all,1.847632781775286,0.486471934339562,passing_yards,28,11,236
last_value,-0.007296473961368122,1.7776965340100288,passing_yards,28,11,236
recent_form_delta,1.3298884672125353,0.6340685231120632,passing_yards,28,11,236
zero_rate,-0.2648152622438943,0.32434301764931545,passing_yards,28,11,236
usage_mean_3,-0.7368537280915148,1.2768636577043355,passing_yards,28,11,236
usage_mean_all,0.9488432127468386,1.4601080747215984,passing_yards,28,11,236
team_market_mean_5,0.7877846848354679,1.4691420100963954,passing_yards,28,11,236
opponent_allowed_mean_5,2.6437974862094107,1.5537213743943652,passing_yards,28,11,236
team_plays_mean_5,-0.48645165558831704,0.5629880783019625,passing_yards,28,11,236
qb_strength_mean_5,-0.24119327425194825,0.3128270546891554,passing_yards,28,11,236
home,4.7124838725826095,0.49465506211649135,passing_yards,28,11,236
season_week,0.0,0.0,passing_yards,28,11,236
game_total,0.0,0.0,passing_yards,28,11,236
team_spread,0.0,0.0,passing_yards,28,11,236
implied_team_total,0.0,0.0,passing_yards,28,11,236
history_games,0.5577172709494349,1.3687484842716262,passing_yards,30,13,297
rolling_mean_3,0.7256617199221296,0.3851542704645221,passing_yards,30,13,297
rolling_mean_5,-0.8836930169273728,1.147900991285392,passing_yards,30,13,297
rolling_mean_all,0.48926007186889536,2.050120364206135,passing_yards,30,13,297
rolling_std_5,-0.8994996475976308,0.47651807334969615,passing_yards,30,13,297
rolling_std_all,-1.5744211887513828,1.043845240506137,passing_yards,30,13,297
last_value,1.2936735260669352,2.56463949767725,passing_yards,30,13,297
recent_form_delta,-0.1858979813605842,0.8876833409626583,passing_yards,30,13,297
zero_rate,-0.4248739416214491,1.1599880381876992,passing_yards,30,13,297
usage_mean_3,1.7413555078021645,1.4570077624053368,passing_yards,30,13,297
usage_mean_all,3.0442352889464614,1.9686183250253069,passing_yards,30,13,297
team_market_mean_5,0.7553236127272271,0.4869939060765972,passing_yards,30,13,297
opponent_allowed_mean_5,0.5987261968585031,2.5578404090084685,passing_yards,30,13,297
team_plays_mean_5,-0.7775598480074294,0.7053518964684892,passing_yards,30,13,297
qb_strength_mean_5,-0.008790809669797284,0.23924271266829156,passing_yards,30,13,297
home,-0.2090884626738756,1.0858701045234005,passing_yards,30,13,297
season_week,0.0,0.0,passing_yards,30,13,297
game_total,0.0,0.0,passing_yards,30,13,297
team_spread,0.0,0.0,passing_yards,30,13,297
implied_team_total,0.0,0.0,passing_yards,30,13,297
history_games,0.48615297749157804,0.4169500801625424,passing_yards,35,15,357
rolling_mean_3,2.41236472990622,0.6485536515369847,passing_yards,35,15,357
rolling_mean_5,0.7154337814044623,0.48763902592089015,passing_yards,35,15,357
rolling_mean_all,1.944646442388212,1.3487623119003156,passing_yards,35,15,357
rolling_std_5,-0.09993490683256852,0.5967737475413776,passing_yards,35,15,357
rolling_std_all,2.1293898504550057,0.7320895181552337,passing_yards,35,15,357
last_value,3.9349442613135492,2.107218463484112,passing_yards,35,15,357
recent_form_delta,-1.256470712646923,0.7631357276953076,passing_yards,35,15,357
zero_rate,0.025866485786723105,0.38731463626525686,passing_yards,35,15,357
usage_mean_3,8.675488505237327,2.31267733965585,passing_yards,35,15,357
usage_mean_all,3.756209208255129,1.4893841232648348,passing_yards,35,15,357
team_market_mean_5,0.9565601331568615,1.1623947936665926,passing_yards,35,15,357
opponent_allowed_mean_5,0.724355277507992,1.6521693257374253,passing_yards,35,15,357
team_plays_mean_5,0.38112720522954363,0.3999684800110505,passing_yards,35,15,357
qb_strength_mean_5,0.10782256927368791,0.26379380880728526,passing_yards,35,15,357
home,1.8944005643256774,0.6373205810263902,passing_yards,35,15,357
season_week,0.0,0.0,passing_yards,35,15,357
game_total,0.0,0.0,passing_yards,35,15,357
team_spread,0.0,0.0,passing_yards,35,15,357
implied_team_total,0.0,0.0,passing_yards,35,15,357
history_games,0.2243243178243887,1.0511771941071326,passing_yards,37,17,428
rolling_mean_3,0.09913688121653194,0.5002749826757436,passing_yards,37,17,428
rolling_mean_5,1.010770744590775,1.98389473971456,passing_yards,37,17,428
rolling_mean_all,2.6581055346110958,3.007228456458109,passing_yards,37,17,428
rolling_std_5,0.2647385776916735,0.8567188217327563,passing_yards,37,17,428
