base_opportunities,bet_rate,bets,expected_value_threshold,hit_rate,independent_games,losses,max_drawdown_units,policy,roi,roi_ci_95,units_profit,wins
18295,0.0,0,0.0,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.01,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.02,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.03,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.05,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.075,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.1,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.15,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.2,,0,0,0.0,market_only_ev,,,0,0
18295,0.9856791473080077,18033,0.0,0.5077358176676093,271,8877,771.0354485856989,v3_ev,-0.040006661819172194,"[-0.06913838148815021, -0.01078379529492167]",-721.4401325851322,9156
18295,0.982618201694452,17977,0.01,0.5075374089113868,271,8853,774.1890244283445,v3_ev,-0.0403243568227277,"[-0.06897556270645216, -0.011104382909314882]",-724.9109626021758,9124
18295,0.9792292976223012,17915,0.02,0.5074518559866034,271,8824,772.9880107967166,v3_ev,-0.04042311351522117,"[-0.06915871975376131, -0.011215355306123135]",-724.1800786251872,9091
18295,0.9757310740639519,17851,0.03,0.5073105148170971,271,8795,775.01737593473,v3_ev,-0.040681723363576325,"[-0.06955401573013498, -0.011592515637652047]",-726.209443763201,9056
18295,0.9698824815523367,17744,0.05,0.5069882777276826,271,8748,780.1371468554165,v3_ev,-0.04110286376712641,"[-0.0691460523781916, -0.011593039719692243]",-729.329214683891,8996
18295,0.9621754577753484,17603,0.075,0.5062205305913765,271,8692,796.1720408084213,v3_ev,-0.042445233110362635,"[-0.07135016976527403, -0.012808626013153976]",-747.1634384417134,8911
18295,0.954413774255261,17461,0.1,0.5066147414237443,271,8615,778.8346387615643,v3_ev,-0.04168295265992009,"[-0.07058914346286635, -0.011823230425975028]",-727.8260363948648,8846
18295,0.9363760590325225,17131,0.15,0.5069756581635632,271,8446,747.2367505354782,v3_ev,-0.04048421210240665,"[-0.0705087908831709, -0.010191605759219085]",-693.5350375263283,8685
18295,0.9178464061218913,16792,0.2,0.5069080514530729,271,8280,725.7691899757331,v3_ev,-0.0400139141893547,"[-0.07023903641383686, -0.009198361932736581]",-671.9136470676442,8512
18295,0.9497676960918283,17376,0.0,0.5123158379373849,271,8474,450.29979186132715,v4_ev,-0.022575971724997732,"[-0.04765793121235524, 0.0018430785698970425]",-392.2800846935606,8902
18295,0.939655643618475,17191,0.01,0.5123029492176139,271,8384,446.11354544745603,v4_ev,-0.022531834180551904,"[-0.04764328212973825, 0.001995906010308392]",-387.3447613978678,8807
18295,0.9286143755124351,16989,0.02,0.5122137853905468,271,8287,445.3551191577466,v4_ev,-0.022438715351589717,"[-0.047242097707505294, 0.002167697626263064]",-381.2113351081577,8702
18295,0.9157146761410221,16753,0.03,0.5120873873336119,271,8174,439.0989839422135,v4_ev,-0.022365804950003315,"[-0.04714510361951504, 0.00277890464244176]",-374.69433032740557,8579
18295,0.8935228204427439,16347,0.05,0.5128769804857161,271,7963,400.71501364573464,v4_ev,-0.020516456605786333,"[-0.04520642749989134, 0.0038748701646842748]",-335.38251613478917,8384
18295,0.8650450942880569,15826,0.075,0.5135852394793378,271,7698,364.58796701257245,v4_ev,-0.018718782210274895,"[-0.04380834872811946, 0.006390991161916296]",-296.24344725981047,8128
18295,0.8342169991801038,15262,0.1,0.5142183200104835,271,7414,376.47921114648983,v4_ev,-0.017026845455270032,"[-0.042409207690058605, 0.008702565304608402]",-259.86371533833125,7848
18295,0.7809784094014758,14288,0.15,0.5140677491601344,271,6943,341.8278071656342,v4_ev,-0.01621623850108195,"[-0.04265364265492432, 0.01048981109912676]",-231.6976157034589,7345
18295,0.7275758403935502,13311,0.2,0.514086094207798,271,6468,299.08927249267174,v4_ev,-0.015229982611899371,"[-0.04247121862895231, 0.01307879478548898]",-202.72629854699252,6843
18295,0.4504509428805685,8241,0.0,0.5240868826598714,260,3922,121.34272484956568,market_residual_walk_forward_ev,0.010496267815740064,"[-0.024729439200381575, 0.04104533713106373]",86.49974306951387,4319
18295,0.37764416507242415,6909,0.01,0.5226516138370242,248,3298,92.84796369332851,market_residual_walk_forward_ev,0.010754117073586693,"[-0.02467894485166185, 0.04692202319018805]",74.30019486141046,3611
18295,0.31281770975676415,5723,0.02,0.524550061156736,243,2721,89.9612526723055,market_residual_walk_forward_ev,0.017729380291392677,"[-0.02333650911267254, 0.05627170948892314]",101.46524340764029,3002
18295,0.25323858977862806,4633,0.03,0.5260090654003885,241,2196,86.8692010727916,market_residual_walk_forward_ev,0.026293374657934684,"[-0.01623250436024113, 0.07129816310835524]",121.81720479021139,2437
18295,0.1477999453402569,2704,0.05,0.5310650887573964,236,1268,61.27511759730393,market_residual_walk_forward_ev,0.05130297398488997,"[-0.0010104840444152194, 0.10333057980243125]",138.7232416551425,1436
18295,0.06799672041541405,1244,0.075,0.5257234726688103,228,590,24.700221778244085,market_residual_walk_forward_ev,0.07299599185453703,"[0.001784767047533671, 0.13739208465246613]",90.80701386704406,654
18295,0.030828095107952994,564,0.1,0.50177304964539,193,281,24.9314952821495,market_residual_walk_forward_ev,0.06594002493059058,"[-0.02827886167189506, 0.17057074227997449]",37.19017406085309,283
18295,0.010713309647444658,196,0.15,0.5204081632653061,113,94,13.7,market_residual_walk_forward_ev,0.122621761333347,"[-0.07272018471766556, 0.3138698517638586]",24.03386522133601,102
18295,0.004700737906531839,86,0.2,0.5,59,43,8.9,market_residual_walk_forward_ev,0.0941665253834989,"[-0.1827705776251243, 0.365594921898208]",8.098321182980905,43
