feature,importance,importance_stddev,market,test_rows,test_week,train_rows
history_games,-1.9716495600292134,1.2146602877344168,passing_yards,31,9,177
rolling_mean_3,2.7116549865818937,0.7740808706907056,passing_yards,31,9,177
rolling_mean_5,-0.515139890264409,0.8611839586944257,passing_yards,31,9,177
rolling_mean_all,1.1813531463749285,1.293388272884963,passing_yards,31,9,177
rolling_std_5,-0.4326233230382016,1.1828579847922063,passing_yards,31,9,177
rolling_std_all,0.3378413509772912,0.43186508342898783,passing_yards,31,9,177
last_value,-0.6520854624484429,0.605597452614306,passing_yards,31,9,177
recent_form_delta,-0.8387508330278252,0.6144885378395435,passing_yards,31,9,177
zero_rate,0.0,0.0,passing_yards,31,9,177
usage_mean_3,0.3381239528475447,0.7046097872141356,passing_yards,31,9,177
usage_mean_all,0.44258702261881666,0.31078204897523726,passing_yards,31,9,177
team_market_mean_5,1.3719728546287697,0.9273994073458989,passing_yards,31,9,177
opponent_allowed_mean_5,2.5259278156304603,0.9428303279427651,passing_yards,31,9,177
team_plays_mean_5,0.71210244303673,0.6992125127486631,passing_yards,31,9,177
qb_strength_mean_5,0.23675148413840788,0.5127651497732278,passing_yards,31,9,177
home,2.008767508961468,0.6850227450519504,passing_yards,31,9,177
season_week,0.0,0.0,passing_yards,31,9,177
game_total,0.0,0.0,passing_yards,31,9,177
team_spread,0.0,0.0,passing_yards,31,9,177
implied_team_total,0.0,0.0,passing_yards,31,9,177
history_games,0.46326939301650044,1.088900637269482,passing_yards,30,11,236
rolling_mean_3,-1.3005948090293002,1.4601873790237205,passing_yards,30,11,236
rolling_mean_5,-1.360059787005045,1.4178355624142038,passing_yards,30,11,236
rolling_mean_all,-0.4479048774834354,1.8972607407490174,passing_yards,30,11,236
rolling_std_5,3.6486409210558803,0.9320855948426234,passing_yards,30,11,236
rolling_std_all,-1.6735485529165743,0.5386957397501128,passing_yards,30,11,236
last_value,-0.0724069798312911,0.3476179077512874,passing_yards,30,11,236
recent_form_delta,1.9565577171550559,0.6963382206943818,passing_yards,30,11,236
zero_rate,0.7723041070754704,0.0,passing_yards,30,11,236
usage_mean_3,-1.3611604538909348,0.3375114844880406,passing_yards,30,11,236
usage_mean_all,-2.646328451720237,0.7767263538830994,passing_yards,30,11,236
team_market_mean_5,1.0264194619853355,0.489395757538305,passing_yards,30,11,236
opponent_allowed_mean_5,-4.186964519502484,1.1737540131704771,passing_yards,30,11,236
team_plays_mean_5,0.38299717083701806,0.9763612044617997,passing_yards,30,11,236
qb_strength_mean_5,0.5975807118349366,0.2784440569133199,passing_yards,30,11,236
home,-0.153144551563949,0.46707897740579013,passing_yards,30,11,236
season_week,0.0,0.0,passing_yards,30,11,236
game_total,0.0,0.0,passing_yards,30,11,236
team_spread,0.0,0.0,passing_yards,30,11,236
implied_team_total,0.0,0.0,passing_yards,30,11,236
history_games,-0.6810907003157155,0.6220573797981048,passing_yards,34,13,291
rolling_mean_3,-0.7383688439041265,0.8536913191978235,passing_yards,34,13,291
rolling_mean_5,-0.5908591555508991,0.4042232681706538,passing_yards,34,13,291
rolling_mean_all,-0.28636264304830095,0.7687594549651553,passing_yards,34,13,291
rolling_std_5,0.7742425827751873,1.3441878224583776,passing_yards,34,13,291
rolling_std_all,-0.09339768249118947,0.4355533826351212,passing_yards,34,13,291
last_value,-1.910193691011301,0.9137429477815826,passing_yards,34,13,291
recent_form_delta,-1.095753408798339,0.9072221121165659,passing_yards,34,13,291
zero_rate,0.0,0.0,passing_yards,34,13,291
usage_mean_3,-1.1545392997693824,0.3409311178009519,passing_yards,34,13,291
usage_mean_all,1.3014653992074188,1.320443667038433,passing_yards,34,13,291
team_market_mean_5,0.8064538291785027,0.4667818178340961,passing_yards,34,13,291
opponent_allowed_mean_5,1.0611814367466479,1.8762855242716288,passing_yards,34,13,291
team_plays_mean_5,-0.06365707610625009,1.0376536565498835,passing_yards,34,13,291
qb_strength_mean_5,0.3294677928303912,0.2591348433384398,passing_yards,34,13,291
home,0.5797328822868195,0.42420127191494944,passing_yards,34,13,291
season_week,0.0,0.0,passing_yards,34,13,291
game_total,0.0,0.0,passing_yards,34,13,291
team_spread,0.0,0.0,passing_yards,34,13,291
implied_team_total,0.0,0.0,passing_yards,34,13,291
history_games,1.3360445535653156,0.4953354420175175,passing_yards,35,15,353
rolling_mean_3,-0.6750907847390522,0.8504446411568869,passing_yards,35,15,353
rolling_mean_5,0.04185886439376816,1.5142111422607571,passing_yards,35,15,353
rolling_mean_all,0.933254595647648,2.043976197510498,passing_yards,35,15,353
rolling_std_5,0.48974629081401133,0.8246408294630301,passing_yards,35,15,353
rolling_std_all,0.265834135321947,0.4623310074437616,passing_yards,35,15,353
last_value,0.5595913550648476,1.4045505856349272,passing_yards,35,15,353
recent_form_delta,-0.6033718561232689,0.5984428373834065,passing_yards,35,15,353
zero_rate,0.2568991482489594,0.4663270758074057,passing_yards,35,15,353
usage_mean_3,-1.2840221110759074,0.7335861341346716,passing_yards,35,15,353
usage_mean_all,0.6687290968959587,0.6424140147141494,passing_yards,35,15,353
team_market_mean_5,0.32661684711564476,0.793948243298273,passing_yards,35,15,353
opponent_allowed_mean_5,0.23415437953409252,0.7748627178769705,passing_yards,35,15,353
team_plays_mean_5,1.2399387169343243,0.36563512333896575,passing_yards,35,15,353
qb_strength_mean_5,0.2226455699074819,0.27363783550989207,passing_yards,35,15,353
home,0.029595621160561338,0.3631839748513216,passing_yards,35,15,353
season_week,0.0,0.0,passing_yards,35,15,353
game_total,0.0,0.0,passing_yards,35,15,353
team_spread,0.0,0.0,passing_yards,35,15,353
implied_team_total,0.0,0.0,passing_yards,35,15,353
history_games,-0.3691559435260274,0.5026214730059754,passing_yards,37,17,422
rolling_mean_3,0.00043084127032955166,0.8536461798002998,passing_yards,37,17,422
rolling_mean_5,-0.8466629856805582,0.9761653970970608,passing_yards,37,17,422
rolling_mean_all,1.8053456209014827,1.898011106457624,passing_yards,37,17,422
rolling_std_5,2.350034660096546,1.2704351835430412,passing_yards,37,17,422
rolling_std_all,0.2644509403478878,0.6166659749232548,passing_yards,37,17,422
last_value,2.19558489944707,1.3245938936001247,passing_yards,37,17,422
recent_form_delta,-0.40768270831194114,0.776281931933017,passing_yards,37,17,422
zero_rate,1.1860132620929478,1.7731155384415163,passing_yards,37,17,422
usage_mean_3,2.5364055407746946,1.1671862865013352,passing_yards,37,17,422
usage_mean_all,1.0419105195954075,0.8101116259529059,passing_yards,37,17,422
team_market_mean_5,0.427257306065448,0.748281888795205,passing_yards,37,17,422
opponent_allowed_mean_5,0.10238438688427606,1.2823416682933182,passing_yards,37,17,422
team_plays_mean_5,-0.3144694537752514,1.2897531588701436,passing_yards,37,17,422
qb_strength_mean_5,-0.25009521061428186,0.19367269969528464,passing_yards,37,17,422
home,0.029806141384349873,0.1943089592746811,passing_yards,37,17,422
season_week,0.0,0.0,passing_yards,37,17,422
game_total,0.0,0.0,passing_yards,37,17,422
team_spread,0.0,0.0,passing_yards,37,17,422
implied_team_total,0.0,0.0,passing_yards,37,17,422
history_games,-1.2197112974463153,1.2167922053022304,passing_yards,33,18,459
rolling_mean_3,-0.8872446831898173,0.6401234716456439,passing_yards,33,18,459
rolling_mean_5,-1.5191389992974051,1.445555669030527,passing_yards,33,18,459
rolling_mean_all,-0.39926259821621385,1.9590658345467469,passing_yards,33,18,459
rolling_std_5,-2.7764100899377353,0.8075270242668139,passing_yards,33,18,459
rolling_std_all,-0.12567383340187915,0.26002036537948964,passing_yards,33,18,459
last_value,-0.87277352455134,0.20214838091791548,passing_yards,33,18,459
recent_form_delta,-1.2555115256075482,0.6870503659670958,passing_yards,33,18,459
zero_rate,0.9746429454446399,1.2766232841412652,passing_yards,33,18,459
usage_mean_3,-3.249863622599494,1.39649911479152,passing_yards,33,18,459
usage_mean_all,-0.11668580293582523,0.9934129676984238,passing_yards,33,18,459
team_market_mean_5,0.49878335485112474,1.0021545263258587,passing_yards,33,18,459
opponent_allowed_mean_5,0.07058039838027526,0.5049225193197872,passing_yards,33,18,459
team_plays_mean_5,-1.2188973884762475,1.3747991106450628,passing_yards,33,18,459
qb_strength_mean_5,0.10605874209105082,0.19594144369580882,passing_yards,33,18,459
home,-0.2089408101779952,0.4360501023158777,passing_yards,33,18,459
season_week,0.0,0.0,passing_yards,33,18,459
game_total,0.0,0.0,passing_yards,33,18,459
team_spread,0.0,0.0,passing_yards,33,18,459
implied_team_total,0.0,0.0,passing_yards,33,18,459
history_games,-0.0025821935163052425,0.004356784233302292,passing_tds,31,9,177
rolling_mean_3,-0.01115885267982577,0.010915680377168687,passing_tds,31,9,177
rolling_mean_5,-0.018877990123469912,0.009948348394189847,passing_tds,31,9,177
rolling_mean_all,0.00914987552235158,0.010661273301403257,passing_tds,31,9,177
rolling_std_5,-0.006328230253299072,0.012788796693854416,passing_tds,31,9,177
rolling_std_all,-0.011630952106044878,0.007723539238500408,passing_tds,31,9,177
last_value,0.0037004579986931407,0.023499791957999675,passing_tds,31,9,177
recent_form_delta,-0.012469878014525903,0.03782157236438888,passing_tds,31,9,177
zero_rate,-0.011336341129521222,0.008765341920042372,passing_tds,31,9,177
usage_mean_3,0.006320718478636689,0.013254882217912435,passing_tds,31,9,177
usage_mean_all,-0.0020185341078768904,0.00714311458095795,passing_tds,31,9,177
team_market_mean_5,0.023253757287785205,0.011777826860201061,passing_tds,31,9,177
opponent_allowed_mean_5,-0.001726421011531354,0.010470434252191903,passing_tds,31,9,177
team_plays_mean_5,-0.00608541781310481,0.016242172748188302,passing_tds,31,9,177
qb_strength_mean_5,0.026003222675966553,0.013120328665499037,passing_tds,31,9,177
home,0.010153151523212011,0.005814990231073696,passing_tds,31,9,177
season_week,0.0,0.0,passing_tds,31,9,177
game_total,0.0,0.0,passing_tds,31,9,177
team_spread,0.0,0.0,passing_tds,31,9,177
implied_team_total,0.0,0.0,passing_tds,31,9,177
history_games,0.005540161782060471,0.0022617922156300545,passing_tds,30,11,236
rolling_mean_3,0.001828974932653149,0.0015731962873057836,passing_tds,30,11,236
