bets,bootstrap_draws,bootstrap_method,edge_threshold,evidence_role,independent_games,losses,policy,roi,roi_ci_95,units_profit,win_rate,wins
18386,1000,deterministic_game_cluster_bootstrap,0.0,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,9046,v3_baseline,-0.04003815839615499,"[-0.06851688471909986, -0.01146233763746521]",-736.1415802717056,0.5079952137495921,9340
18275,1000,deterministic_game_cluster_bootstrap,0.01,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8995,v3_baseline,-0.040574090890814714,"[-0.0687295674848951, -0.011794981724248917]",-741.4915110296389,0.507797537619699,9280
18184,1000,deterministic_game_cluster_bootstrap,0.02,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8949,v3_baseline,-0.040260251874615814,"[-0.06861575466748113, -0.011189706362845945]",-732.092420088014,0.5078640563132424,9235
18066,1000,deterministic_game_cluster_bootstrap,0.03,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8887,v3_baseline,-0.039933706108421105,"[-0.06860692785043494, -0.010895439119512376]",-721.4423345547357,0.5080814790213661,9179
17945,1000,deterministic_game_cluster_bootstrap,0.04,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8826,v3_baseline,-0.0397134596349239,"[-0.06857769624856944, -0.010082598277762183]",-712.6580331487094,0.5081638339370298,9119
17845,1000,deterministic_game_cluster_bootstrap,0.05,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8787,v3_baseline,-0.04082680939402797,"[-0.0692155251665589, -0.011637187597767655]",-728.5544136364291,0.5075931633510787,9058
17570,1000,deterministic_game_cluster_bootstrap,0.075,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8666,v3_baseline,-0.04219666166872594,"[-0.07165132721635263, -0.012511868183870765]",-741.3953455195148,0.5067729083665339,8904
17293,1000,deterministic_game_cluster_bootstrap,0.1,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8511,v3_baseline,-0.040205818998897795,"[-0.06970336363968292, -0.010197925395823695]",-695.2792279479396,0.5078355403920661,8782
16670,1000,deterministic_game_cluster_bootstrap,0.15,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8190,v3_baseline,-0.038159895410440556,"[-0.06798970564190464, -0.007312591857103904]",-636.125456492044,0.5086982603479304,8480
16014,1000,deterministic_game_cluster_bootstrap,0.2,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,7834,v3_baseline,-0.03359174299855807,"[-0.06469321383399165, -0.00043955451870878696]",-537.9381723789089,0.5108030473335831,8180
18610,1000,deterministic_game_cluster_bootstrap,0.0,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,9097,v4_candidate,-0.025438055699665597,"[-0.04993094631646376, -0.0027249326293997426]",-473.4022165707768,0.5111767866738313,9513
18207,1000,deterministic_game_cluster_bootstrap,0.01,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8894,v4_candidate,-0.024885459833133023,"[-0.04903587562766239, -0.0020777232915211914]",-453.08956718185294,0.5115065634096776,9313
17816,1000,deterministic_game_cluster_bootstrap,0.02,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8691,v4_candidate,-0.023817351929257758,"[-0.0478475594840883, -0.00026033834898790594]",-424.32994197165624,0.5121800628648406,9125
17463,1000,deterministic_game_cluster_bootstrap,0.03,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8522,v4_candidate,-0.02407930757068515,"[-0.048882132363571744, 0.00011675234123434816]",-420.49694810687475,0.5119967932199507,8941
17112,1000,deterministic_game_cluster_bootstrap,0.04,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8341,v4_candidate,-0.022934676573850746,"[-0.04823467208598161, 0.001484794091722456]",-392.458185531734,0.5125642823749416,8771
16680,1000,deterministic_game_cluster_bootstrap,0.05,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,8116,v4_candidate,-0.021295635877992367,"[-0.045974917020232514, 0.0035401273319278213]",-355.21120644491265,0.5134292565947243,8564
15666,1000,deterministic_game_cluster_bootstrap,0.075,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,7592,v4_candidate,-0.01746812737919452,"[-0.042597433599716406, 0.008047494170814577]",-273.65568352246135,0.5153836333460998,8074
14729,1000,deterministic_game_cluster_bootstrap,0.1,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,7147,v4_candidate,-0.018341311947309882,"[-0.04494210346468014, 0.008090821467752895]",-270.14918367192723,0.5147667866114468,7582
12808,1000,deterministic_game_cluster_bootstrap,0.15,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,6202,v4_candidate,-0.016044893216357287,"[-0.044713210075998676, 0.01324470321705968]",-205.50299231510414,0.5157713928794504,6606
10880,1000,deterministic_game_cluster_bootstrap,0.2,DESCRIPTIVE_ONLY_NOT_FOR_SELECTION,271,5233,v4_candidate,-0.009494386970785086,"[-0.04226536229413716, 0.022291364607348315]",-103.29893024214174,0.5190257352941177,5647
