bets,bookmaker,bootstrap_draws,bootstrap_method,independent_games,losses,market,policy,roi,roi_ci_95,segment,side,units_profit,week,win_rate,wins
447,,1000,deterministic_game_cluster_bootstrap,259,213,passing_tds,v3_baseline,0.010161020930802431,"[-0.09036963461714377, 0.11493946404340834]",by_market,,4.5419763560686865,,0.5234899328859061,234
2214,,1000,deterministic_game_cluster_bootstrap,267,1171,passing_yards,v3_baseline,-0.11096715189529657,"[-0.20000152239755625, -0.021131054686010158]",by_market,,-245.68127429618661,,0.47109304426377596,1043
9190,,1000,deterministic_game_cluster_bootstrap,270,4494,receiving_yards,v3_baseline,-0.03216911416279415,"[-0.06884453397974577, 0.002867517697498812]",by_market,,-295.6341591560782,,0.5109902067464636,4696
3337,,1000,deterministic_game_cluster_bootstrap,270,1603,receptions,v3_baseline,-0.0324039492757111,"[-0.07067863736023082, 0.005465946361550536]",by_market,,-108.13197873304794,,0.5196284087503746,1734
733,,1000,deterministic_game_cluster_bootstrap,260,354,rushing_attempts,v3_baseline,-0.025179594278751997,"[-0.10071841015105669, 0.04895792853672703]",by_market,,-18.456642606325214,,0.5170532060027285,379
1924,,1000,deterministic_game_cluster_bootstrap,268,952,rushing_yards,v3_baseline,-0.033883750104396974,"[-0.10854849717422899, 0.03198578694481255]",by_market,,-65.19233520085977,,0.5051975051975052,972
3673,betmgm,1000,deterministic_game_cluster_bootstrap,257,1853,,v3_baseline,-0.0640095977979561,"[-0.10201944453045948, -0.026451242948937196]",by_bookmaker,,-235.10725271189276,,0.4955077593248026,1820
2389,betonlineag,1000,deterministic_game_cluster_bootstrap,269,1191,,v3_baseline,-0.037677780168456805,"[-0.08593385248555847, 0.008288561567309453]",by_bookmaker,,-90.0122168224433,,0.501465048137296,1198
1742,betrivers,1000,deterministic_game_cluster_bootstrap,270,845,,v3_baseline,-0.031996390781572126,"[-0.07981877418444468, 0.015577342043328389]",by_bookmaker,,-55.73771274149864,,0.5149253731343284,897
1898,bovada,1000,deterministic_game_cluster_bootstrap,264,968,,v3_baseline,-0.04602476502394259,"[-0.09517932929622869, 0.005311008714576114]",by_bookmaker,,-87.35500401544304,,0.48998946259220233,930
