feature,importance,importance_stddev,market,test_rows,test_week,train_rows
history_games,-1.17111735716978,0.5132806147561246,passing_yards,62,7,315
rolling_mean_3,0.6959096653235519,0.34667315292789513,passing_yards,62,7,315
rolling_mean_5,3.082173086438465,1.4550821516277155,passing_yards,62,7,315
rolling_mean_all,0.6850662996249184,0.481006946130692,passing_yards,62,7,315
rolling_std_5,-2.136562328685682,0.9174163101304891,passing_yards,62,7,315
rolling_std_all,1.4119339051290325,0.8494223698646033,passing_yards,62,7,315
last_value,2.2835192102575546,0.6270257143064174,passing_yards,62,7,315
recent_form_delta,-0.5646278453786323,0.21866650771237786,passing_yards,62,7,315
zero_rate,0.0790329262292488,1.0186960076352514,passing_yards,62,7,315
usage_mean_3,3.4085430506327326,0.9317554995195686,passing_yards,62,7,315
usage_mean_all,7.3799490447336975,4.401584084051378,passing_yards,62,7,315
team_market_mean_5,-0.48942938779943573,0.33308665402477017,passing_yards,62,7,315
opponent_allowed_mean_5,1.3410373964540496,1.202767501425164,passing_yards,62,7,315
team_plays_mean_5,-0.036296076220000376,0.4581138151164935,passing_yards,62,7,315
qb_strength_mean_5,0.05148654141916893,0.06564061522498507,passing_yards,62,7,315
home,-0.11559099226646197,0.21451908153193447,passing_yards,62,7,315
season_week,0.18248414217898698,0.41723972435780504,passing_yards,62,7,315
game_total,0.0,0.0,passing_yards,62,7,315
team_spread,0.0,0.0,passing_yards,62,7,315
implied_team_total,0.0,0.0,passing_yards,62,7,315
history_games,-0.23628789487137283,0.7022420621499611,passing_yards,58,9,447
rolling_mean_3,-0.09797052659892955,0.1577719197104847,passing_yards,58,9,447
rolling_mean_5,0.4061829871084427,1.1466037497099868,passing_yards,58,9,447
rolling_mean_all,-1.0887069120382464,1.1161307162421548,passing_yards,58,9,447
rolling_std_5,1.1882438159200603,0.5955550649528796,passing_yards,58,9,447
rolling_std_all,1.6843767583932903,0.8938654570850733,passing_yards,58,9,447
last_value,0.7111978184310814,0.5531690354775364,passing_yards,58,9,447
recent_form_delta,-1.0554508988803861,0.3230454628295143,passing_yards,58,9,447
zero_rate,-0.31304364515984984,0.6464012971441209,passing_yards,58,9,447
usage_mean_3,0.17356358425051752,1.3919196744421094,passing_yards,58,9,447
usage_mean_all,0.3336896010123027,1.757896302870162,passing_yards,58,9,447
team_market_mean_5,0.0612309362676001,0.3827720553813612,passing_yards,58,9,447
opponent_allowed_mean_5,4.078246730674199,0.698587523482921,passing_yards,58,9,447
team_plays_mean_5,-0.6298482749215679,0.2789527350009182,passing_yards,58,9,447
qb_strength_mean_5,-0.1982987661318319,0.13668899541898186,passing_yards,58,9,447
home,0.6365806808651883,0.8533755521291037,passing_yards,58,9,447
season_week,-0.4006856697757712,0.332493320119339,passing_yards,58,9,447
game_total,0.0,0.0,passing_yards,58,9,447
team_spread,0.0,0.0,passing_yards,58,9,447
implied_team_total,0.0,0.0,passing_yards,58,9,447
history_games,0.32534947267694464,0.623512923062592,passing_yards,59,11,566
rolling_mean_3,0.48806205848357537,0.8404550487276252,passing_yards,59,11,566
rolling_mean_5,2.2718614512230944,1.5569996607375762,passing_yards,59,11,566
rolling_mean_all,0.3613345994092228,1.6831432029902282,passing_yards,59,11,566
rolling_std_5,0.03176679409964152,0.6158506274406327,passing_yards,59,11,566
rolling_std_all,2.117034511321259,0.9392544373210445,passing_yards,59,11,566
last_value,1.1811964421264747,0.29029244203547283,passing_yards,59,11,566
recent_form_delta,0.5279375904055541,0.45056668557821267,passing_yards,59,11,566
zero_rate,-0.5659984405198258,0.3242028869988102,passing_yards,59,11,566
usage_mean_3,2.9469307981353863,0.9499258199944873,passing_yards,59,11,566
usage_mean_all,3.7724847327031314,0.7631345498644927,passing_yards,59,11,566
team_market_mean_5,0.9421255802414634,0.5160645084260047,passing_yards,59,11,566
opponent_allowed_mean_5,-2.1586970441318227,1.3678971869322434,passing_yards,59,11,566
team_plays_mean_5,0.04630312473378382,0.8521430020714068,passing_yards,59,11,566
qb_strength_mean_5,0.12552565342315916,0.11968505931011643,passing_yards,59,11,566
home,2.1366034448071503,0.7447500325660382,passing_yards,59,11,566
season_week,0.40348698472945727,0.666328490461717,passing_yards,59,11,566
game_total,0.0,0.0,passing_yards,59,11,566
team_spread,0.0,0.0,passing_yards,59,11,566
implied_team_total,0.0,0.0,passing_yards,59,11,566
history_games,-0.5582833360288959,0.43753530808349406,passing_yards,64,13,687
rolling_mean_3,-0.7444826438259696,0.5330747008376654,passing_yards,64,13,687
rolling_mean_5,2.8209174734833313,0.8197092365055443,passing_yards,64,13,687
rolling_mean_all,1.167477403807976,1.2620395241592266,passing_yards,64,13,687
rolling_std_5,-1.1820500325248489,0.9451596334620447,passing_yards,64,13,687
rolling_std_all,-0.0043032305763290426,0.5385165605639837,passing_yards,64,13,687
last_value,-0.5820338275021427,1.079576345789586,passing_yards,64,13,687
recent_form_delta,-0.5906018554479886,0.6694759055916144,passing_yards,64,13,687
zero_rate,-0.6118572637512643,0.7756966731116886,passing_yards,64,13,687
usage_mean_3,4.613286389288999,1.0339425575476273,passing_yards,64,13,687
usage_mean_all,0.8818395411774788,1.0826335829294564,passing_yards,64,13,687
team_market_mean_5,-0.08133693284411833,0.28723698254773916,passing_yards,64,13,687
opponent_allowed_mean_5,0.21791387556317546,0.7360874973587996,passing_yards,64,13,687
team_plays_mean_5,-0.3870674029067175,0.41135331223732036,passing_yards,64,13,687
qb_strength_mean_5,-0.12733009961607422,0.07796597001048189,passing_yards,64,13,687
home,0.10429807348642725,0.5977902511655785,passing_yards,64,13,687
season_week,-0.03561128361248791,0.5401255383671766,passing_yards,64,13,687
game_total,0.0,0.0,passing_yards,64,13,687
team_spread,0.0,0.0,passing_yards,64,13,687
implied_team_total,0.0,0.0,passing_yards,64,13,687
history_games,0.21203324417246563,0.41897164141427473,passing_yards,76,15,810
rolling_mean_3,1.443040341730267,0.577448938280756,passing_yards,76,15,810
rolling_mean_5,2.9696989259611115,0.5960872609647259,passing_yards,76,15,810
rolling_mean_all,0.5559739268811967,0.7003197256523362,passing_yards,76,15,810
rolling_std_5,0.12110196428182007,0.315176378995823,passing_yards,76,15,810
rolling_std_all,-0.01814128984390493,0.8526945469909724,passing_yards,76,15,810
last_value,2.9290043699855715,0.66636054908141,passing_yards,76,15,810
recent_form_delta,-0.6225134390806915,0.3740211448360969,passing_yards,76,15,810
zero_rate,0.4269585303009478,0.3463796670939672,passing_yards,76,15,810
usage_mean_3,7.440506228918418,1.334135734652226,passing_yards,76,15,810
usage_mean_all,1.0624443073598768,0.8373518522149793,passing_yards,76,15,810
team_market_mean_5,-0.8060218355448512,0.33798791233777176,passing_yards,76,15,810
opponent_allowed_mean_5,-0.4761218002232681,0.7974658384276883,passing_yards,76,15,810
team_plays_mean_5,0.05496173018837851,0.2192438850636941,passing_yards,76,15,810
qb_strength_mean_5,-0.3067717509337797,0.04720750266828368,passing_yards,76,15,810
home,-0.3397547451255093,0.44589017465469355,passing_yards,76,15,810
season_week,0.15808282115552003,0.32472262467476204,passing_yards,76,15,810
game_total,0.0,0.0,passing_yards,76,15,810
team_spread,0.0,0.0,passing_yards,76,15,810
implied_team_total,0.0,0.0,passing_yards,76,15,810
history_games,-0.0351024153329547,0.4017628661656583,passing_yards,77,17,956
rolling_mean_3,2.33635785396215,0.748899505175661,passing_yards,77,17,956
rolling_mean_5,3.771134857569777,0.33787845491787527,passing_yards,77,17,956
rolling_mean_all,1.3152229071277077,0.9688803987889303,passing_yards,77,17,956
rolling_std_5,0.5968191376565073,0.2573749234497049,passing_yards,77,17,956
rolling_std_all,-1.0072528038099648,0.3092418336047859,passing_yards,77,17,956
last_value,5.021746952823397,0.7340181759725178,passing_yards,77,17,956
recent_form_delta,-0.8681736940969529,0.26303608131273876,passing_yards,77,17,956
zero_rate,-0.5840395577535276,0.2857229310805138,passing_yards,77,17,956
usage_mean_3,4.525341098001957,0.520594120372605,passing_yards,77,17,956
usage_mean_all,2.3243498907040587,0.6630803118032682,passing_yards,77,17,956
team_market_mean_5,-0.3808861899391928,0.49510263396306425,passing_yards,77,17,956
opponent_allowed_mean_5,-0.9846024777719009,0.2740199083674563,passing_yards,77,17,956
team_plays_mean_5,-0.38797748142927446,0.40064156421968583,passing_yards,77,17,956
qb_strength_mean_5,-0.061016396543084286,0.07696321283271414,passing_yards,77,17,956
home,-0.8599991253546904,0.5224182794261399,passing_yards,77,17,956
season_week,-0.13949213727683799,0.5377390211049096,passing_yards,77,17,956
game_total,0.0,0.0,passing_yards,77,17,956
team_spread,0.0,0.0,passing_yards,77,17,956
implied_team_total,0.0,0.0,passing_yards,77,17,956
history_games,-0.1919105392388417,0.45378060049893953,passing_yards,71,18,1033
rolling_mean_3,-0.5193590156710656,0.5092230858293082,passing_yards,71,18,1033
rolling_mean_5,0.7280029199905101,1.1891183543356008,passing_yards,71,18,1033
rolling_mean_all,0.7436353235728831,0.6514136402963735,passing_yards,71,18,1033
rolling_std_5,0.1689114248069103,0.37504182569694067,passing_yards,71,18,1033
rolling_std_all,0.4805337380533814,0.8285424228096987,passing_yards,71,18,1033
last_value,1.8208254747130865,1.5312041295921381,passing_yards,71,18,1033
recent_form_delta,0.9040794040368837,0.41876506472428426,passing_yards,71,18,1033
zero_rate,0.2662867614040579,0.14999099030869417,passing_yards,71,18,1033
usage_mean_3,0.6809132126271521,0.9337348576355863,passing_yards,71,18,1033
usage_mean_all,1.9111195163913721,0.39104821916353444,passing_yards,71,18,1033
team_market_mean_5,-0.0638715889741377,0.39863950134677784,passing_yards,71,18,1033
opponent_allowed_mean_5,0.7960328518535874,0.37977036603290587,passing_yards,71,18,1033
team_plays_mean_5,0.04437421282487151,0.29713264397845746,passing_yards,71,18,1033
qb_strength_mean_5,-0.10332283840960485,0.04963022519313675,passing_yards,71,18,1033
home,0.22002747045422383,0.43963260639046353,passing_yards,71,18,1033
season_week,-0.16100865703100736,0.18726616568852172,passing_yards,71,18,1033
game_total,0.0,0.0,passing_yards,71,18,1033
team_spread,0.0,0.0,passing_yards,71,18,1033
implied_team_total,0.0,0.0,passing_yards,71,18,1033
history_games,0.002425888063220527,0.00432477740523511,passing_tds,62,7,315
rolling_mean_3,-0.0003112316659209968,0.008608208592027992,passing_tds,62,7,315
rolling_mean_5,-0.0022935402514764557,0.0018410465682635498,passing_tds,62,7,315
rolling_mean_all,0.03366262513602092,0.025374263939152385,passing_tds,62,7,315
rolling_std_5,-0.0070013366737843976,0.008151239068489621,passing_tds,62,7,315
rolling_std_all,-0.00465696824837063,0.00685872169857196,passing_tds,62,7,315
last_value,0.005662065909853897,0.005281670325352494,passing_tds,62,7,315
recent_form_delta,-0.007473603380503136,0.002599760223007653,passing_tds,62,7,315
zero_rate,-0.004889653624501533,0.005285597127124209,passing_tds,62,7,315
usage_mean_3,0.00013293475927049768,0.0177456309476937,passing_tds,62,7,315
usage_mean_all,0.028135848463737113,0.014755227762262823,passing_tds,62,7,315
team_market_mean_5,-0.008534062339226045,0.007747369261567641,passing_tds,62,7,315
opponent_allowed_mean_5,0.0024210553456892824,0.0019416054119885035,passing_tds,62,7,315
team_plays_mean_5,0.002227095400234158,0.006502705800052524,passing_tds,62,7,315
qb_strength_mean_5,-0.0026542764760711713,0.009976603427016346,passing_tds,62,7,315
home,0.013210364318501356,0.009069342216297809,passing_tds,62,7,315
season_week,0.012777448680060588,0.008800396605391274,passing_tds,62,7,315
game_total,0.0,0.0,passing_tds,62,7,315
team_spread,0.0,0.0,passing_tds,62,7,315
implied_team_total,0.0,0.0,passing_tds,62,7,315
history_games,0.011801364095963596,0.0020547980595199775,passing_tds,58,9,447
rolling_mean_3,-0.014942395552188681,0.002085830297518012,passing_tds,58,9,447
rolling_mean_5,0.000499139132003612,0.002182723693145282,passing_tds,58,9,447
rolling_mean_all,0.00399640130943939,0.014142831751677578,passing_tds,58,9,447
rolling_std_5,0.012925657565318226,0.004882092341127074,passing_tds,58,9,447
rolling_std_all,0.023686569817553415,0.012206874514959306,passing_tds,58,9,447
last_value,0.012509451001118822,0.004842775028191167,passing_tds,58,9,447
recent_form_delta,-0.01698456485621138,0.008035219557731843,passing_tds,58,9,447
zero_rate,-0.008131945654201412,0.0015875762912286662,passing_tds,58,9,447
usage_mean_3,-0.0019620464512416945,0.008369054226607785,passing_tds,58,9,447
usage_mean_all,-0.033255663610528896,0.00799627657595537,passing_tds,58,9,447
team_market_mean_5,0.010575298632782592,0.003977278287791744,passing_tds,58,9,447
opponent_allowed_mean_5,-0.006236100836358149,0.006433385423520978,passing_tds,58,9,447
team_plays_mean_5,0.0009342734525741303,0.004482189914889642,passing_tds,58,9,447
qb_strength_mean_5,0.0016507346506773768,0.008772957562791788,passing_tds,58,9,447
home,0.016072314489423235,0.012742589649492972,passing_tds,58,9,447
season_week,0.0034795694744613748,0.009858860900975253,passing_tds,58,9,447
game_total,0.0,0.0,passing_tds,58,9,447
team_spread,0.0,0.0,passing_tds,58,9,447
implied_team_total,0.0,0.0,passing_tds,58,9,447
history_games,0.0014101170547786922,0.005500837892838609,passing_tds,59,11,566
rolling_mean_3,-0.004956219610996726,0.005381453111811065,passing_tds,59,11,566
rolling_mean_5,0.009461629079054346,0.0030777342649351315,passing_tds,59,11,566
rolling_mean_all,0.04529653105098767,0.028605172600824593,passing_tds,59,11,566
rolling_std_5,0.025663171382071324,0.01036361113507148,passing_tds,59,11,566
rolling_std_all,0.016991945106916796,0.008355215174412208,passing_tds,59,11,566
last_value,0.01168934718854755,0.010015531144273573,passing_tds,59,11,566
recent_form_delta,0.005887032480809263,0.005377541115387352,passing_tds,59,11,566
