base_opportunities,bet_rate,bets,expected_value_threshold,hit_rate,independent_games,losses,max_drawdown_units,policy,roi,roi_ci_95,units_profit,wins
18295,0.0,0,0.0,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.01,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.02,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.03,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.05,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.075,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.1,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.15,,0,0,0.0,market_only_ev,,,0,0
18295,0.0,0,0.2,,0,0,0.0,market_only_ev,,,0,0
18295,0.9856791473080077,18033,0.0,0.5077358176676093,271,8877,771.0354485856989,v3_ev,-0.040006661819172194,"[-0.06913838148815021, -0.01078379529492167]",-721.4401325851322,9156
18295,0.982618201694452,17977,0.01,0.5075374089113868,271,8853,774.1890244283445,v3_ev,-0.0403243568227277,"[-0.06897556270645216, -0.011104382909314882]",-724.9109626021758,9124
18295,0.9792292976223012,17915,0.02,0.5074518559866034,271,8824,772.9880107967166,v3_ev,-0.04042311351522117,"[-0.06915871975376131, -0.011215355306123135]",-724.1800786251872,9091
18295,0.9757310740639519,17851,0.03,0.5073105148170971,271,8795,775.01737593473,v3_ev,-0.040681723363576325,"[-0.06955401573013498, -0.011592515637652047]",-726.209443763201,9056
18295,0.9698824815523367,17744,0.05,0.5069882777276826,271,8748,780.1371468554165,v3_ev,-0.04110286376712641,"[-0.0691460523781916, -0.011593039719692243]",-729.329214683891,8996
18295,0.9621754577753484,17603,0.075,0.5062205305913765,271,8692,796.1720408084213,v3_ev,-0.042445233110362635,"[-0.07135016976527403, -0.012808626013153976]",-747.1634384417134,8911
18295,0.954413774255261,17461,0.1,0.5066147414237443,271,8615,778.8346387615643,v3_ev,-0.04168295265992009,"[-0.07058914346286635, -0.011823230425975028]",-727.8260363948648,8846
18295,0.9363760590325225,17131,0.15,0.5069756581635632,271,8446,747.2367505354782,v3_ev,-0.04048421210240665,"[-0.0705087908831709, -0.010191605759219085]",-693.5350375263283,8685
18295,0.9178464061218913,16792,0.2,0.5069080514530729,271,8280,725.7691899757331,v3_ev,-0.0400139141893547,"[-0.07023903641383686, -0.009198361932736581]",-671.9136470676442,8512
18295,0.9505875922383165,17391,0.0,0.5122764648381347,271,8482,482.602128608882,v4_ev,-0.023645933887416155,"[-0.04890847716235281, 0.0022104400527388894]",-411.2264362360544,8909
18295,0.9392183656736813,17183,0.01,0.5121340860152477,271,8383,476.95350014764597,v4_ev,-0.023628198783082824,"[-0.048604974894858315, 0.0014441518543784437]",-406.00333968971216,8800
18295,0.9292156326865264,17000,0.02,0.512,271,8296,473.86102118906047,v4_ev,-0.023829604887727947,"[-0.049118144409275054, 0.0015124509708132154]",-405.1032830913751,8704
18295,0.9187209620114786,16808,0.03,0.5115421227986673,271,8210,475.32535821408464,v4_ev,-0.024522578220646497,"[-0.050617564970749984, 0.001998192886938346]",-412.1754947326263,8598
18295,0.8944520360754304,16364,0.05,0.5120386213639697,271,7985,458.5331199573491,v4_ev,-0.023272248631065685,"[-0.049025143473117885, 0.0028576826298831784]",-380.8270765987589,8379
18295,0.866138289150041,15846,0.075,0.5123690521267197,271,7727,432.1996452499524,v4_ev,-0.02205722043202843,"[-0.04917702529149975, 0.005282513553298665]",-349.51871496592247,8119
18295,0.838480459141842,15340,0.1,0.5121903520208605,271,7483,452.5882484702469,v4_ev,-0.02184094422304334,"[-0.0493291273727832, 0.005822766373748451]",-335.0400843814848,7857
18295,0.7808144301721782,14285,0.15,0.5124956247812391,271,6964,444.7306308915224,v4_ev,-0.020529903201519976,"[-0.048199377133601874, 0.007942888114283576]",-293.2696672337129,7321
18295,0.7264279857884668,13290,0.2,0.5116629044394282,271,6490,432.33418722688714,v4_ev,-0.02090696069367599,"[-0.04932874276393412, 0.008995833772276779]",-277.8535076189539,6800
18295,0.48144301721781907,8808,0.0,0.5240690281562216,260,4192,139.60105366118395,market_residual_walk_forward_ev,0.007942256916851916,"[-0.024752564545325477, 0.03930121025530364]",69.95539892363168,4616
18295,0.4059032522547144,7426,0.01,0.5257204416913547,248,3522,102.42379438328288,market_residual_walk_forward_ev,0.015467643882493606,"[-0.023227562070601362, 0.04909396780900316]",114.86272347139752,3904
18295,0.33391637059305823,6109,0.02,0.5239810116221968,244,2908,95.56404853402597,market_residual_walk_forward_ev,0.015533037032113593,"[-0.019410525158266294, 0.053684700234864484]",94.89132322918194,3201
18295,0.26406121891227113,4831,0.03,0.5195611674601531,242,2321,94.82391469307541,market_residual_walk_forward_ev,0.013623052017288556,"[-0.02703742275583279, 0.05341088041105715]",65.81296429552101,2510
18295,0.15763869909811423,2884,0.05,0.5218446601941747,237,1379,73.98524148660513,market_residual_walk_forward_ev,0.029402060863957375,"[-0.023629809979240378, 0.0818586161136186]",84.79554353165307,1505
18295,0.07756217545777534,1419,0.075,0.5024665257223396,229,706,42.72256640515142,market_residual_walk_forward_ev,0.019770046092902036,"[-0.0527270017248458, 0.09130856195496997]",28.053695405827987,713
18295,0.03864443837113966,707,0.1,0.49929278642149927,207,354,21.67330529712908,market_residual_walk_forward_ev,0.04011878727040139,"[-0.05427354263623573, 0.1313200671465727]",28.363982600173784,353
18295,0.0161792839573654,296,0.15,0.5067567567567568,126,146,26.16676794153858,market_residual_walk_forward_ev,0.06356803099195359,"[-0.0853672802070694, 0.2127092568603751]",18.816137173618262,150
18295,0.008253621207980323,151,0.2,0.5231788079470199,80,72,9.697619047619048,market_residual_walk_forward_ev,0.0914276394988626,"[-0.14188563642631666, 0.30425879907784154]",13.805573564328252,79
