provider,season,week,games_expected,games_expected_source,games_present,games_parsed,games_quarantined,player_game_rows,join_success_by_canonical_player_id,target_coverage,reception_coverage,receiving_yard_coverage,rush_attempt_coverage,rushing_yard_coverage,play_by_play_coverage,dropback_field_coverage,residual_category_coverage,timestamp_safety,unresolved_mappings,duplicate_plays,null_rate_targets,null_rate_receptions,null_rate_receiving_yards,null_rate_rush_attempts,null_rate_rushing_yards,reconciliation_failure_count
espn,2023,1,16,stored_schedule_snapshot,16,16,0,310,1.0,0.8161290322580645,0.8161290322580645,0.8161290322580645,0.4483870967741935,0.4483870967741935,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18387096774193545,0.18387096774193545,0.18387096774193545,0.5516129032258065,0.5516129032258065,0
espn,2023,2,16,stored_schedule_snapshot,16,16,0,311,1.0,0.8070739549839229,0.8070739549839229,0.8070739549839229,0.43086816720257237,0.43086816720257237,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19292604501607713,0.19292604501607713,0.19292604501607713,0.5691318327974276,0.5691318327974276,0
espn,2023,3,16,stored_schedule_snapshot,16,16,0,310,1.0,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.42258064516129035,0.42258064516129035,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19354838709677424,0.19354838709677424,0.19354838709677424,0.5774193548387097,0.5774193548387097,0
espn,2023,4,16,stored_schedule_snapshot,16,16,0,323,1.0,0.826625386996904,0.826625386996904,0.826625386996904,0.4241486068111455,0.4241486068111455,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.17337461300309598,0.17337461300309598,0.17337461300309598,0.5758513931888545,0.5758513931888545,0
espn,2023,5,14,stored_schedule_snapshot,14,14,0,283,1.0,0.8162544169611308,0.8162544169611308,0.8162544169611308,0.3992932862190813,0.3992932862190813,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18374558303886923,0.18374558303886923,0.18374558303886923,0.6007067137809188,0.6007067137809188,0
espn,2023,6,15,stored_schedule_snapshot,15,15,0,298,1.0,0.8154362416107382,0.8154362416107382,0.8154362416107382,0.4429530201342282,0.4429530201342282,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18456375838926176,0.18456375838926176,0.18456375838926176,0.5570469798657718,0.5570469798657718,0
espn,2023,7,13,stored_schedule_snapshot,13,13,0,251,1.0,0.8167330677290837,0.8167330677290837,0.8167330677290837,0.398406374501992,0.398406374501992,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18326693227091628,0.18326693227091628,0.18326693227091628,0.601593625498008,0.601593625498008,0
espn,2023,8,16,stored_schedule_snapshot,16,16,0,313,1.0,0.8083067092651757,0.8083067092651757,0.8083067092651757,0.46645367412140576,0.46645367412140576,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19169329073482433,0.19169329073482433,0.19169329073482433,0.5335463258785942,0.5335463258785942,0
espn,2023,9,14,stored_schedule_snapshot,14,14,0,282,1.0,0.8404255319148937,0.8404255319148937,0.8404255319148937,0.4148936170212766,0.4148936170212766,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.15957446808510634,0.15957446808510634,0.15957446808510634,0.5851063829787234,0.5851063829787234,0
espn,2023,10,14,stored_schedule_snapshot,14,14,0,283,1.0,0.8056537102473498,0.8056537102473498,0.8056537102473498,0.3957597173144876,0.3957597173144876,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19434628975265023,0.19434628975265023,0.19434628975265023,0.6042402826855124,0.6042402826855124,0
espn,2023,11,14,stored_schedule_snapshot,14,14,0,275,1.0,0.8254545454545454,0.8254545454545454,0.8254545454545454,0.44,0.44,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.17454545454545456,0.17454545454545456,0.17454545454545456,0.56,0.56,0
espn,2023,12,16,stored_schedule_snapshot,16,16,0,314,1.0,0.821656050955414,0.821656050955414,0.821656050955414,0.40764331210191085,0.40764331210191085,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.17834394904458595,0.17834394904458595,0.17834394904458595,0.5923566878980892,0.5923566878980892,0
espn,2023,13,13,stored_schedule_snapshot,13,13,0,256,1.0,0.80078125,0.80078125,0.80078125,0.44140625,0.44140625,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19921875,0.19921875,0.19921875,0.55859375,0.55859375,0
espn,2023,14,15,stored_schedule_snapshot,15,15,0,296,1.0,0.8006756756756757,0.8006756756756757,0.8006756756756757,0.40202702702702703,0.40202702702702703,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19932432432432434,0.19932432432432434,0.19932432432432434,0.597972972972973,0.597972972972973,0
espn,2023,15,16,stored_schedule_snapshot,16,16,0,331,1.0,0.8096676737160121,0.8096676737160121,0.8096676737160121,0.40181268882175225,0.40181268882175225,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19033232628398788,0.19033232628398788,0.19033232628398788,0.5981873111782477,0.5981873111782477,0
espn,2023,16,16,stored_schedule_snapshot,16,16,0,318,1.0,0.8207547169811321,0.8207547169811321,0.8207547169811321,0.4308176100628931,0.4308176100628931,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.17924528301886788,0.17924528301886788,0.17924528301886788,0.5691823899371069,0.5691823899371069,0
espn,2023,17,16,stored_schedule_snapshot,16,16,0,312,1.0,0.7980769230769231,0.7980769230769231,0.7980769230769231,0.4326923076923077,0.4326923076923077,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.20192307692307687,0.20192307692307687,0.20192307692307687,0.5673076923076923,0.5673076923076923,0
espn,2023,18,16,stored_schedule_snapshot,16,16,0,319,1.0,0.799373040752351,0.799373040752351,0.799373040752351,0.40752351097178685,0.40752351097178685,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.20062695924764895,0.20062695924764895,0.20062695924764895,0.5924764890282131,0.5924764890282131,0
espn,2024,1,16,stored_schedule_snapshot,16,16,0,307,1.0,0.8078175895765473,0.8078175895765473,0.8078175895765473,0.43322475570032576,0.43322475570032576,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19218241042345274,0.19218241042345274,0.19218241042345274,0.5667752442996743,0.5667752442996743,0
espn,2024,2,16,stored_schedule_snapshot,16,16,0,308,1.0,0.7922077922077922,0.7922077922077922,0.7922077922077922,0.43506493506493504,0.43506493506493504,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.20779220779220775,0.20779220779220775,0.20779220779220775,0.564935064935065,0.564935064935065,0
espn,2024,3,16,stored_schedule_snapshot,16,16,0,317,1.0,0.7917981072555205,0.7917981072555205,0.7917981072555205,0.39747634069400634,0.39747634069400634,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.20820189274447953,0.20820189274447953,0.20820189274447953,0.6025236593059937,0.6025236593059937,0
espn,2024,4,16,stored_schedule_snapshot,16,16,0,297,1.0,0.8215488215488216,0.8215488215488216,0.8215488215488216,0.43097643097643096,0.43097643097643096,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.17845117845117842,0.17845117845117842,0.17845117845117842,0.569023569023569,0.569023569023569,0
espn,2024,5,14,stored_schedule_snapshot,14,14,0,262,1.0,0.8053435114503816,0.8053435114503816,0.8053435114503816,0.4389312977099237,0.4389312977099237,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19465648854961837,0.19465648854961837,0.19465648854961837,0.5610687022900763,0.5610687022900763,0
espn,2024,6,14,stored_schedule_snapshot,14,14,0,273,1.0,0.7875457875457875,0.7875457875457875,0.7875457875457875,0.4468864468864469,0.4468864468864469,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.21245421245421248,0.21245421245421248,0.21245421245421248,0.5531135531135531,0.5531135531135531,0
espn,2024,7,15,stored_schedule_snapshot,15,15,0,299,1.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.43478260869565216,0.43478260869565216,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.23076923076923073,0.23076923076923073,0.23076923076923073,0.5652173913043479,0.5652173913043479,0
espn,2024,8,16,stored_schedule_snapshot,16,16,0,322,1.0,0.8012422360248447,0.8012422360248447,0.8012422360248447,0.40683229813664595,0.40683229813664595,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19875776397515532,0.19875776397515532,0.19875776397515532,0.5931677018633541,0.5931677018633541,0
espn,2024,9,15,stored_schedule_snapshot,15,15,0,298,1.0,0.8053691275167785,0.8053691275167785,0.8053691275167785,0.43288590604026844,0.43288590604026844,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19463087248322153,0.19463087248322153,0.19463087248322153,0.5671140939597316,0.5671140939597316,0
espn,2024,10,14,stored_schedule_snapshot,14,14,0,267,1.0,0.7865168539325843,0.7865168539325843,0.7865168539325843,0.41947565543071164,0.41947565543071164,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.2134831460674157,0.2134831460674157,0.2134831460674157,0.5805243445692884,0.5805243445692884,0
espn,2024,11,14,stored_schedule_snapshot,14,14,0,289,1.0,0.8027681660899654,0.8027681660899654,0.8027681660899654,0.4117647058823529,0.4117647058823529,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19723183391003463,0.19723183391003463,0.19723183391003463,0.5882352941176471,0.5882352941176471,0
espn,2024,12,13,stored_schedule_snapshot,13,13,0,257,1.0,0.8015564202334631,0.8015564202334631,0.8015564202334631,0.4163424124513619,0.4163424124513619,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.19844357976653693,0.19844357976653693,0.19844357976653693,0.5836575875486381,0.5836575875486381,0
espn,2024,13,16,stored_schedule_snapshot,16,16,0,309,1.0,0.8122977346278317,0.8122977346278317,0.8122977346278317,0.42718446601941745,0.42718446601941745,1.0,1.0,1.0,POSTGAME_ONLY_OUTCOMES; PREGAME_GAME_METADATA,0,0,0.18770226537216828,0.18770226537216828,0.18770226537216828,0.5728155339805825,0.5728155339805825,0
